r_fighter,b_fighter,date,referee,winner,r_record,r_losses,r_draws,r_wins,r_winsbydecisionmajority,r_winsbydecisionmajority,r_winsbydecisionunanimous,r_winsbydecisionunanimous,r_winsbydecisionsplit,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,b_record,b_losses,b_draws,b_wins,b_winsbydecisionmajority,b_winsbydecisionmajority,b_winsbydecisionunanimous,b_winsbydecisionunanimous,b_winsbydecisionsplit,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds)
Mairbek Taisumov,Tae Hyun Bang,2014-01-04,Leon Roberts,Red,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Max Holloway,Will Chope,2014-01-04,Leon Roberts,Red,3-3-0,3,0,3,0,0,1,1,1,1,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.22,145.47,51.09,0.25,0.0,0.0,5.28,,,,,,,
Royston Wee,Dave Galera,2014-01-04,John Sharp,Red,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Tarec Saffiedine,Hyun Gyu Lim,2014-01-04,Leon Roberts,Red,0-0-0,0,0,0,0,0,0,0,0,0,0,0,2-0-0,0,0,2,0,0,0,0,0,2,0,0,,,,,,,,1.5,104.5,44.0,0.5,0.5,0.0,7.5
Tatsuya Kawajiri,Sean Soriano,2014-01-04,Steve Perceval,Red,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Alptekin Ozkilic,Louis Smolka,2014-01-15,Herb Dean,Blue,1-0-0,0,0,1,0,0,0,0,1,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,116.0,27.0,3.0,3.0,0.0,382.0,,,,,,,
Charlie Brenneman,Beneil Dariush,2014-01-15,Dan Miragliotta,Blue,4-4-0,4,0,4,0,0,4,4,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.41,4.89,2.94,0.77,0.0,163.31,,,,,,,
Cole Miller,Sam Sicilia,2014-01-15,Herb Dean,Red,9-6-0,6,0,9,0,0,2,2,0,1,6,0,2-2-0,2,0,2,0,0,0,0,0,2,0,0,0.02,86.58,31.13,0.37,0.16,0.66,146.64,0.0,55.88,21.0,2.38,0.88,0.25,74.0
Isaac Vallie-Flagg,Elias Silverio,2014-01-15,Blake Grice,Blue,1-0-0,0,0,1,0,0,0,0,1,0,0,0,1-0-0,0,0,1,0,0,1,1,0,0,0,0,0.0,222.0,76.0,0.0,0.0,0.0,134.0,0.0,84.0,49.0,2.0,1.0,0.0,280.0
John Moraga,Dustin Ortiz,2014-01-15,Dan Miragliotta,Red,2-1-0,1,0,2,0,0,0,0,0,1,1,0,1-0-0,0,0,1,0,0,0,0,0,1,0,0,0.25,72.25,31.0,3.0,1.0,0.25,85.75,0.0,104.0,55.0,7.0,4.0,0.0,338.0
Lorenz Larkin,Brad Tavares,2014-01-15,Herb Dean,Blue,1-1-0,1,0,1,0,0,1,1,0,0,0,0,6-1-0,1,0,6,0,0,4,4,1,1,0,0,0.0,101.5,39.0,0.0,0.0,0.0,35.5,0.02,136.61,57.84,2.45,0.83,0.0,111.08
Luke Rockhold,Costas Philippou,2014-01-15,Herb Dean,Red,0-1-0,1,0,0,0,0,0,0,0,0,0,0,5-2-0,2,0,5,0,0,2,2,1,2,0,0,0.0,15.0,6.0,1.0,0.0,0.0,0.0,0.11,64.09,21.06,0.33,0.06,0.05,49.92
Ramsey Nijem,Justin Edwards,2014-01-15,George Allen,Red,3-3-0,3,0,3,0,0,2,2,0,1,0,0,2-3-0,3,0,2,0,0,1,1,0,0,1,0,0.12,27.75,10.16,3.12,1.69,0.12,132.75,0.12,24.94,11.19,3.56,0.56,0.5,59.69
TJ Dillashaw,Mike Easton,2014-01-15,Dan Miragliotta,Red,4-2-0,2,0,4,0,0,1,1,0,2,1,0,3-2-0,2,0,3,1,1,1,1,0,1,0,0,0.38,73.84,26.41,3.53,1.72,1.72,148.38,0.06,152.12,56.0,5.19,1.69,0.0,93.25
Trevor Smith,Brian Houston,2014-01-15,Blake Grice,Red,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,108.0,87.0,5.0,1.0,1.0,200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Vinc Pichel,Garett Whiteley,2014-01-15,George Allen,Red,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,7.0,1.0,0.0,0.0,5.0
Yoel Romero,Derek Brunson,2014-01-15,Blake Grice,Red,2-0-0,0,0,2,0,0,0,0,0,2,0,0,2-0-0,0,0,2,0,0,1,1,0,0,1,0,1.0,58.0,31.0,1.0,0.0,0.0,26.0,0.5,66.0,21.0,6.5,2.0,1.0,235.5
Alex Caceres,Sergio Pettis,2014-01-25,Herb Dean,Red,4-4-0,4,0,4,0,0,1,1,2,0,1,0,1-0-0,0,0,1,0,0,1,1,0,0,0,0,0.0,117.0,72.49,0.03,0.03,0.42,229.13,0.0,121.0,81.0,4.0,2.0,3.0,123.0
Benson Henderson,Josh Thomson,2014-01-25,John McCarthy,Red,7-1-0,1,0,7,0,0,5,5,2,0,0,0,3-1-0,1,0,3,1,1,0,0,0,2,0,0,0.14,96.34,46.29,4.29,1.14,0.17,259.78,0.62,51.75,27.62,1.75,1.38,0.0,113.75
Chico Camus,Yaotzin Meza,2014-01-25,Otto Torriero,Draw,2-1-0,1,0,2,0,0,2,2,0,0,0,0,1-1-0,1,0,1,0,0,0,0,0,0,1,0,0.0,56.0,27.75,1.75,0.75,0.75,331.5,0.0,11.0,3.0,1.0,0.5,2.0,170.5
Daron Cruickshank,Mike Rio,2014-01-25,Herb Dean,Red,3-2-0,2,0,3,0,0,1,1,1,1,0,0,1-2-0,2,0,1,0,0,0,0,0,0,1,0,0.06,80.81,25.69,1.56,0.25,0.0,31.31,0.0,23.5,10.75,4.5,1.25,0.25,111.5
Darren Elkins,Jeremy Stephens,2014-01-25,John McCarthy,Blue,7-2-0,2,0,7,0,0,5,5,0,2,0,0,9-8-0,8,0,9,0,0,3,3,1,4,0,1,0.12,97.48,31.16,3.51,1.44,0.45,278.51,0.52,37.62,19.23,3.24,1.69,0.31,152.87
Donald Cerrone,Adriano Martins,2014-01-25,John McCarthy,Red,8-3-0,3,0,8,0,0,3,3,0,2,3,0,1-0-0,0,0,1,0,0,0,0,0,0,1,0,0.54,78.37,38.45,2.18,1.27,0.5,129.89,0.0,22.0,16.0,1.0,1.0,1.0,244.0
Eddie Wineland,Yves Jabouin,2014-01-25,Robert Madrigal,Red,2-3-0,3,0,2,0,0,0,0,1,1,0,0,4-2-0,2,0,4,0,0,1,1,3,0,0,0,0.38,132.38,37.81,0.88,0.19,0.0,20.19,0.12,50.47,26.47,1.06,0.69,0.0,290.03
George Sullivan,Mike Rhodes,2014-01-25,John McCarthy,Red,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Junior Hernandez,Hugo Viana,2014-01-25,Otto Torriero,Blue,0-1-0,1,0,0,0,0,0,0,0,0,0,0,2-1-0,1,0,2,0,0,0,0,1,1,0,0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.75,62.0,27.25,0.0,0.0,0.0,27.75
Stipe Miocic,Gabriel Gonzaga,2014-01-25,Herb Dean,Red,4-1-0,1,0,4,0,0,2,2,0,2,0,0,11-6-0,6,0,11,0,0,0,0,0,7,4,0,0.06,130.19,73.75,5.44,1.25,0.0,108.56,0.75,12.87,6.77,0.86,0.26,0.11,21.27
Walt Harris,Nikita Krylov,2014-01-25,Robert Madrigal,Blue,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,2.0,71.0,18.0,1.0,0.0,0.0,4.0,0.0,68.0,45.0,1.0,0.0,2.0,137.0
Al Iaquinta,Kevin Lee,2014-02-01,Herb Dean,Red,2-1-0,1,0,2,0,0,2,2,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,146.75,64.5,5.0,2.0,0.0,100.25,,,,,,,
Anthony Rocco Martin,Rashid Magomedov,2014-02-01,Gasper Oliver,Blue,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Chris Cariaso,Danny Martinez,2014-02-01,Keith Peterson,Red,5-3-0,3,0,5,0,0,3,3,1,1,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,112.06,45.59,1.52,0.6,0.27,71.95,,,,,,,
Clint Hester,Andy Enz,2014-02-01,Gasper Oliver,Red,2-0-0,0,0,2,0,0,0,0,0,1,0,1,0-0-0,0,0,0,0,0,0,0,0,0,0,0,1.0,100.5,46.5,1.0,0.5,0.0,164.0,,,,,,,
Frank Mir,Alistair Overeem,2014-02-01,Dan Miragliotta,Blue,14-8-0,8,0,14,0,0,2,2,0,3,8,0,1-2-0,2,0,1,0,0,0,0,0,1,0,0,0.02,31.62,14.91,0.91,0.25,0.07,28.4,1.25,56.75,38.0,0.75,0.25,0.0,167.5
Jamie Varner,Abel Trujillo,2014-02-01,Dan Miragliotta,Blue,3-3-0,3,0,3,0,0,0,0,1,1,1,0,2-2-0,2,0,2,0,0,0,0,0,2,0,0,0.19,90.28,38.78,5.12,2.94,0.94,149.75,0.12,75.88,42.5,3.5,3.0,0.25,125.0
John Lineker,Ali Bagautinov,2014-02-01,Keith Peterson,Blue,4-1-0,1,0,4,0,0,1,1,0,3,0,0,2-0-0,0,0,2,0,0,1,1,0,1,0,0,1.88,85.75,36.31,0.5,0.5,0.0,30.62,1.0,109.0,40.5,4.5,2.0,0.5,140.0
John Makdessi,Alan Patrick,2014-02-01,Dan Miragliotta,Blue,5-2-0,2,0,5,0,0,3,3,0,2,0,0,1-0-0,0,0,1,0,0,0,0,0,1,0,0,0.53,98.64,46.38,0.0,0.0,0.0,7.06,1.0,35.0,16.0,2.0,1.0,0.0,53.0
Jose Aldo,Ricardo Lamas,2014-02-01,Keith Peterson,Red,5-0-0,0,0,5,0,0,3,3,0,2,0,0,4-0-0,0,0,4,0,0,1,1,0,2,1,0,0.19,130.25,45.44,3.56,2.81,0.06,208.0,0.12,54.0,28.12,5.12,1.38,1.12,151.88
Neil Magny,Gasan Umalatov,2014-02-01,Gasper Oliver,Red,1-2-0,2,0,1,0,0,1,1,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.75,33.5,2.75,2.0,0.0,152.75,,,,,,,
Nick Catone,Tom Watson,2014-02-01,Herb Dean,Red,3-4-0,4,0,3,0,0,1,1,1,0,1,0,1-2-0,2,0,1,0,0,0,0,0,1,0,0,0.0,36.08,16.19,5.11,1.7,0.06,225.06,0.25,90.75,46.75,0.5,0.0,0.0,119.75
Renan Barao,Urijah Faber,2014-02-01,Herb Dean,Red,6-0-0,0,0,6,0,0,3,3,0,1,2,0,6-2-0,2,0,6,0,0,2,2,0,0,4,0,0.53,111.25,42.72,3.25,1.19,0.28,86.66,0.52,73.33,43.9,3.33,2.04,0.95,297.91
Charles Oliveira,Andy Ogle,2014-02-15,Mario Yamasaki,Red,4-5-0,5,0,4,0,0,0,0,0,0,4,0,1-2-0,2,0,1,0,0,1,1,0,0,0,0,0.02,79.51,27.11,2.89,0.46,0.81,23.94,0.25,62.25,31.25,6.25,1.75,0.0,516.75
Cristiano Marcello,Joe Proctor,2014-02-15,Osiris de Medeiros,Blue,1-2-0,2,0,1,0,0,0,0,1,0,0,0,1-1-0,1,0,1,0,0,0,0,0,1,0,0,0.0,120.75,44.25,2.75,0.5,0.0,28.75,0.5,48.0,15.5,0.0,0.0,2.0,76.0
Douglas Silva de Andrade,Zubaira Tukhugov,2014-02-15,Osiris de Medeiros,Blue,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Erick Silva,Takenori Sato,2014-02-15,Mario Yamasaki,Red,3-3-0,3,0,3,0,0,0,0,0,1,2,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.03,35.84,17.38,0.38,0.25,0.62,39.97,,,,,,,
Felipe Arantes,Maximo Blanco,2014-02-15,Mario Yamasaki,Red,2-3-0,3,0,2,0,0,1,1,0,1,0,0,1-2-0,2,0,1,0,0,1,1,0,0,0,0,0.0,66.81,34.12,2.75,1.75,0.5,220.62,0.0,59.25,20.0,2.25,1.0,0.25,63.5
Francisco Trinaldo,Jesse Ronson,2014-02-15,Keith Peterson,Red,3-2-0,2,0,3,0,0,0,0,0,1,2,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.56,33.56,17.88,2.88,1.0,0.5,114.94,0.0,73.0,38.0,1.0,1.0,0.0,46.0
Ildemar Alcantara,Albert Tumenov,2014-02-15,Keith Peterson,Red,2-1-0,1,0,2,0,0,1,1,0,0,1,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,56.5,23.25,3.0,2.75,2.25,202.75,,,,,,,
Iuri Alcantara,Wilson Reis,2014-02-15,Osiris de Medeiros,Red,3-3-0,3,0,3,0,0,2,2,0,1,0,0,1-0-0,0,0,1,0,0,1,1,0,0,0,0,0.0,33.66,15.0,0.88,0.81,0.75,111.47,0.0,96.0,33.0,6.0,4.0,0.0,423.0
Jacare Souza,Francis Carmont,2014-02-15,Keith Peterson,Red,2-0-0,0,0,2,0,0,0,0,0,1,1,0,6-0-0,0,0,6,0,0,3,3,1,0,2,0,0.5,32.0,18.0,2.0,0.5,0.5,92.5,0.03,65.0,24.47,5.81,3.16,0.28,495.06
Lyoto Machida,Gegard Mousasi,2014-02-15,Mario Yamasaki,Red,12-4-0,4,0,12,0,0,5,5,1,5,1,0,1-0-0,0,0,1,0,0,1,1,0,0,0,0,0.58,31.61,15.0,0.19,0.14,0.01,9.51,0.0,150.0,80.0,0.0,0.0,0.0,6.0
Rodrigo Damm,Ivan Jorge,2014-02-15,Mario Yamasaki,Red,2-1-0,1,0,2,0,0,0,0,1,0,1,0,1-0-0,0,0,1,0,0,1,1,0,0,0,0,0.0,125.75,53.25,3.5,1.0,0.25,62.75,0.0,94.0,69.0,10.0,2.0,0.0,425.0
Viscardi Andrade,Nico Musoke,2014-02-15,Keith Peterson,Blue,1-0-0,0,0,1,0,0,0,0,0,1,0,0,1-0-0,0,0,1,0,0,0,0,0,0,1,0,1.0,18.0,12.0,0.0,0.0,0.0,18.0,0.0,24.0,12.0,1.0,1.0,1.0,107.0
Alexis Davis,Jessica Eye,2014-02-22,Yves Lavigne,Red,2-0-0,0,0,2,0,0,2,2,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,122.0,47.0,2.0,0.5,1.5,296.5,0.0,209.0,65.0,0.0,0.0,0.0,85.0
Cody Gibson,Aljamain Sterling,2014-02-22,Herb Dean,Blue,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Daniel Cormier,Patrick Cummins,2014-02-22,Mario Yamasaki,Red,2-0-0,0,0,2,0,0,2,2,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,122.0,66.5,3.0,1.5,0.0,343.0,,,,,,,
Ernest Chavez,Yosdenis Cedeno,2014-02-22,Chris Tognoni,Red,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Mike Pyle,TJ Waldburger,2014-02-22,Herb Dean,Red,8-4-0,4,0,8,0,0,2,2,1,3,2,0,4-3-0,3,0,4,0,0,1,1,0,0,3,0,0.22,26.11,11.46,0.21,0.12,0.52,21.38,0.38,15.83,8.44,3.19,0.62,1.73,68.92
Rafaello Oliveira,Erik Koch,2014-02-22,Yves Lavigne,Blue,2-5-0,5,0,2,0,0,2,2,0,0,0,0,2-2-0,2,0,2,0,0,1,1,0,1,0,0,0.0,55.61,22.66,5.22,1.16,1.31,191.48,0.12,64.0,25.0,0.0,0.0,2.5,114.0
Raphael Assuncao,Pedro Munhoz,2014-02-22,Chris Tognoni,Red,5-1-0,1,0,5,0,0,2,2,1,1,1,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.06,91.03,31.75,5.25,0.84,0.75,82.91,,,,,,,
Robert Whittaker,Stephen Thompson,2014-02-22,Mario Yamasaki,Blue,2-1-0,1,0,2,0,0,1,1,0,1,0,0,3-1-0,1,0,3,0,0,1,1,0,2,0,0,0.75,170.75,58.0,0.25,0.25,0.0,9.0,1.12,74.38,38.88,2.0,1.5,0.0,177.62
Ronda Rousey,Sara McMann,2014-02-22,Herb Dean,Red,2-0-0,0,0,2,0,0,0,0,0,0,2,0,1-0-0,0,0,1,0,0,0,0,0,1,0,0,0.0,38.5,23.5,4.5,3.5,2.0,325.5,0.0,9.0,8.0,2.0,2.0,0.0,227.0
Rory MacDonald,Demian Maia,2014-02-22,Yves Lavigne,Red,6-2-0,2,0,6,0,0,3,3,0,2,1,0,12-5-0,5,0,12,0,0,5,5,0,1,6,0,0.0,116.09,49.13,3.99,2.4,0.58,144.75,0.0,50.25,18.16,9.09,3.78,0.9,384.49
Zach Makovsky,Joshua Sampo,2014-02-22,Chris Tognoni,Red,1-0-0,0,0,1,0,0,1,1,0,0,0,0,1-0-0,0,0,1,0,0,0,0,0,0,1,0,0.0,81.0,26.0,17.0,6.0,1.0,159.0,0.0,64.0,28.0,2.0,2.0,5.0,251.0
Albert Cheng,An Ying Wang,2014-03-01,Leon Roberts,Blue,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Dong Hyun Kim,John Hathaway,2014-03-01,Leon Roberts,Red,9-3-0,3,0,9,0,0,6,6,1,2,0,0,7-1-0,1,0,7,0,0,5,5,1,1,0,0,0.53,40.19,16.56,4.5,1.76,0.5,393.0,0.28,131.51,48.26,3.91,1.52,0.52,259.45
Hatsu Hioki,Ivan Menjivar,2014-03-01,Dan Miragliotta,Red,2-3-0,3,0,2,0,0,1,1,1,0,0,0,4-4-0,4,0,4,0,0,1,1,0,1,2,0,0.0,74.88,33.56,1.88,1.25,0.38,159.62,0.01,47.48,20.36,0.38,0.28,0.2,5.2
Jumabieke Tuerxun,Mark Eddiva,2014-03-01,Jerin Valel,Blue,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Kazuki Tokudome,Yui Chul Nam,2014-03-01,Jerin Valel,Blue,1-1-0,1,0,1,0,0,1,1,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.5,102.5,38.0,3.5,1.5,0.0,332.0,,,,,,,
Matt Mitrione,Shawn Jordan,2014-03-01,Dan Miragliotta,Red,6-3-0,3,0,6,0,0,1,1,0,5,0,0,3-2-0,2,0,3,0,0,0,0,0,3,0,0,0.13,19.15,10.41,0.0,0.0,0.02,6.27,0.25,25.88,13.69,0.56,0.25,0.0,44.25
Nam Phan,Vaughan Lee,2014-03-01,Leon Roberts,Blue,2-5-0,5,0,2,0,0,1,1,1,0,0,0,2-3-0,3,0,2,0,0,1,1,0,0,1,0,0.0,237.89,80.75,0.03,0.03,0.02,7.61,0.06,33.25,15.69,1.12,0.25,0.25,40.06
Sai Wang,Zhang Lipeng,2014-03-01,Jerin Valel,Blue,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Alexander Gustafsson,Jimi Manuwa,2014-03-08,Marc Goddard,Red,7-2-0,2,0,7,0,0,2,2,0,3,2,0,3-0-0,0,0,3,0,0,0,0,0,1,0,2,0.23,223.44,84.59,7.19,2.16,0.05,76.7,0.25,64.25,41.75,2.75,0.75,0.25,95.75
Brad Pickett,Neil Seery,2014-03-08,Neil Hall,Red,3-3-0,3,0,3,0,0,0,0,1,1,1,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.09,123.59,36.19,2.47,1.62,0.03,149.91,,,,,,,
Bradley Scott,Claudio Silva,2014-03-08,Neil Hall,Blue,1-1-0,1,0,1,0,0,0,0,0,0,1,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,97.0,34.5,4.0,0.5,1.0,208.0,,,,,,,
Cyrille Diabate,Ilir Latifi,2014-03-08,Leon Roberts,Blue,4-3-0,3,0,4,1,1,1,1,0,1,1,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.3,24.17,18.06,0.8,0.78,0.25,83.53,0.0,112.0,18.0,3.0,1.0,0.0,31.0
Gunnar Nelson,Omari Akhmedov,2014-03-08,Grant Waterman,Red,2-0-0,0,0,2,0,0,1,1,0,0,1,0,1-0-0,0,0,1,0,0,0,0,0,1,0,0,0.0,45.0,25.5,2.5,1.5,1.0,254.0,1.0,20.0,14.0,5.0,1.0,1.0,127.0
Igor Araujo,Danny Mitchell,2014-03-08,Leon Roberts,Red,1-0-0,0,0,1,0,0,1,1,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,51.0,21.0,6.0,1.0,1.0,439.0,,,,,,,
Luke Barnatt,Mats Nilsson,2014-03-08,Marc Goddard,Red,2-0-0,0,0,2,0,0,1,1,0,0,1,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,1.0,170.0,76.0,1.5,1.0,1.0,44.0,,,,,,,
Michael Johnson,Melvin Guillard,2014-03-08,Leon Roberts,Red,6-4-0,4,0,6,0,0,3,3,0,3,0,0,12-9-0,9,0,12,0,0,2,2,2,7,0,1,1.18,122.22,45.1,0.54,0.51,0.0,32.6,0.32,56.29,23.62,0.66,0.03,0.13,22.3
Phil Harris,Louis Gaudinot,2014-03-08,Grant Waterman,Draw,1-2-0,2,0,1,0,0,1,1,0,0,0,0,1-2-0,2,0,1,0,0,0,0,0,0,1,0,0.0,70.75,17.75,1.0,0.75,0.0,40.75,0.0,79.25,31.75,1.0,0.5,0.25,63.0
Carlos Condit,Tyron Woodley,2014-03-15,Jacob Montalvo,Blue,6-3-0,3,0,6,0,0,1,1,1,4,0,0,2-1-0,1,0,2,0,0,0,0,0,2,0,0,0.67,195.77,75.9,1.04,0.02,1.05,56.18,1.25,46.0,29.75,0.0,0.0,0.0,78.5
Daniel Pineda,Rob Whiteford,2014-03-15,,Blue,3-3-0,3,0,3,0,0,0,0,0,0,3,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.03,89.41,34.41,4.97,0.59,0.34,117.5,0.0,28.0,15.0,3.0,0.0,0.0,70.0
Dennis Bermudez,Jimy Hettes,2014-03-15,Kerry Hatley,Red,5-1-0,1,0,5,0,0,2,2,2,0,1,0,3-1-0,1,0,3,0,0,1,1,0,0,2,0,0.16,141.16,58.19,8.81,4.34,2.41,368.22,0.0,61.5,34.62,7.88,4.0,1.5,291.5
Diego Sanchez,Myles Jury,2014-03-15,Kerry Hatley,Blue,13-6-0,6,0,13,0,0,6,6,2,5,0,0,4-0-0,0,0,4,0,0,1,1,1,1,1,0,0.51,157.98,46.51,5.93,1.15,1.27,66.97,0.25,63.25,20.75,4.25,2.88,0.25,288.5
Jake Shields,Hector Lombard,2014-03-15,Don Turnage,Blue,4-3-0,3,0,4,0,0,1,1,3,0,0,0,2-2-0,2,0,2,0,0,0,0,0,2,0,0,0.0,134.58,49.45,12.73,1.06,0.0,502.34,0.75,48.62,22.5,1.25,0.25,0.0,82.5
Johny Hendricks,Robbie Lawler,2014-03-15,Dan Miragliotta,Red,10-2-0,2,0,10,1,1,2,2,2,5,0,0,7-3-0,3,0,7,0,0,2,2,1,4,0,0,0.17,125.58,55.0,6.29,4.18,0.01,298.21,0.77,69.01,31.6,0.41,0.39,0.0,98.95
Kelvin Gastelum,Rick Story,2014-03-15,Jacob Montalvo,Red,2-0-0,0,0,2,0,0,0,0,1,0,1,0,9-5-0,5,0,9,0,0,4,4,2,2,1,0,0.5,48.5,22.5,4.0,2.0,0.5,209.5,0.88,141.71,55.57,3.21,2.09,0.03,188.38
Ovince Saint Preux,Nikita Krylov,2014-03-15,Dan Miragliotta,Red,2-0-0,0,0,2,1,1,0,0,0,1,0,0,1-1-0,1,0,1,0,0,0,0,0,1,0,0,0.0,47.5,26.5,1.0,0.0,0.0,26.0,0.5,42.0,28.0,0.5,0.0,1.0,70.0
Raquel Pennington,Jessica Andrade,2014-03-15,Don Turnage,Blue,1-0-0,0,0,1,0,0,1,1,0,0,0,0,1-1-0,1,0,1,0,0,1,1,0,0,0,0,0.0,133.0,80.0,1.0,1.0,1.0,282.0,0.0,179.5,108.0,1.5,1.0,0.5,61.5
Renee Forte,Francisco Trevino,2014-03-15,Dan Miragliotta,Blue,1-2-0,2,0,1,0,0,1,1,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.25,62.25,21.75,0.75,0.5,0.0,175.75,,,,,,,
Bubba McDaniel,Sean Strickland,2014-03-15,,Blue,1-1-0,1,0,1,0,0,0,0,0,0,1,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,55.0,24.5,1.5,0.5,1.5,329.5,,,,,,,
Sean Spencer,Alex Garcia,2014-03-15,Don Turnage,Blue,2-1-0,1,0,2,0,0,1,1,1,0,0,0,1-0-0,0,0,1,0,0,0,0,0,1,0,0,0.0,226.25,80.25,0.5,0.0,0.0,28.75,1.0,15.0,9.0,0.0,0.0,0.0,2.0
Will Campuzano,Justin Scoggins,2014-03-15,Jacob Montalvo,Blue,0-3-0,3,0,0,0,0,0,0,0,0,0,0,1-0-0,0,0,1,0,0,0,0,0,1,0,0,0.0,98.25,40.0,4.75,2.25,0.0,214.5,0.0,37.0,27.0,3.0,2.0,0.0,246.0
Cezar Ferreira,CB Dollaway,2014-03-23,Mario Yamasaki,Blue,3-0-0,0,0,3,0,0,1,1,1,0,1,0,7-5-0,5,0,7,0,0,3,3,1,1,2,0,0.5,52.5,18.75,2.0,1.5,0.25,268.5,0.0,107.14,49.23,6.94,2.78,0.24,265.2
Fabio Maldonado,Gian Villante,2014-03-23,Herb Dean,Red,3-3-0,3,0,3,0,0,1,1,1,1,0,0,1-1-0,1,0,1,0,0,0,0,0,1,0,0,0.03,143.16,81.09,0.66,0.31,0.62,87.69,0.5,66.0,35.5,2.5,0.5,0.0,62.0
Francimar Barroso,Hans Stringer,2014-03-23,Mario Yamasaki,Blue,1-0-0,0,0,1,0,0,1,1,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,63.0,31.0,5.0,2.0,0.0,220.0,,,,,,,
Godofredo Pepey,Noad Lahat,2014-03-23,Wernei Cardoso,Red,1-3-0,3,0,1,0,0,0,0,1,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.62,11.0,2.12,0.25,0.12,60.38,,,,,,,
