r_fighter,b_fighter,date,referee,winner,r_record,r_losses,r_draws,r_wins,r_winsbydecisionmajority,r_winsbydecisionmajority,r_winsbydecisionunanimous,r_winsbydecisionunanimous,r_winsbydecisionsplit,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,b_record,b_losses,b_draws,b_wins,b_winsbydecisionmajority,b_winsbydecisionmajority,b_winsbydecisionunanimous,b_winsbydecisionunanimous,b_winsbydecisionsplit,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds)
Rodney Wallace,Jared Hamman,2010-03-27,Kevin Mulhall,Blue,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,35.0,15.0,15.0,7.0,2.0,359.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0
Rousimar Palhares,Tomasz Drwal,2010-03-27,Kevin Mulhall,Red,3-1-0,1,0,3,0,0,1,1,0,0,2,0,3-1-0,1,0,3,0,0,0,0,0,2,1,0,0.0,23.62,10.88,5.62,2.62,2.0,316.38,0.25,70.38,29.38,5.12,2.75,0.5,131.0
Andre Winner,Rafaello Oliveira,2010-03-31,Dale Frye,Red,1-1-0,1,0,1,0,0,0,0,0,1,0,0,1-1-0,1,0,1,0,0,1,1,0,0,0,0,1.0,57.0,30.0,1.0,0.0,0.0,187.0,0.0,77.5,25.0,7.0,5.0,2.0,510.5
Caol Uno,Gleison Tibau,2010-03-31,Bill Clancy,Blue,3-6-0,6,0,3,0,0,2,2,0,1,0,0,6-4-0,4,0,6,0,0,4,4,0,0,2,0,0.0,56.16,29.62,6.39,2.32,0.08,442.62,0.0,78.71,16.49,12.69,8.06,1.48,370.3
Charlie Brenneman,Jason High,2010-03-31,Dale Frye,Red,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Gerald Harris,Mario Miranda,2010-03-31,Bill Clancy,Red,1-0-0,0,0,1,0,0,0,0,0,1,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,81.0,21.0,2.0,1.0,0.0,132.0,,,,,,,
Jacob Volkmann,Ronys Torres,2010-03-31,Bill Clancy,Red,0-2-0,2,0,0,0,0,0,0,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,37.0,14.5,2.0,0.5,0.5,184.5,0.0,49.0,6.0,13.0,5.0,1.0,343.0
Kenny Florian,Takanori Gomi,2010-03-31,Mario Yamasaki,Red,10-3-0,3,0,10,0,0,1,1,0,2,6,1,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.5,68.16,22.95,5.65,1.06,0.65,139.39,,,,,,,
Nate Quarry,Jorge Rivera,2010-03-31,Mario Yamasaki,Blue,7-2-0,2,0,7,0,0,2,2,0,5,0,0,6-5-0,5,0,6,0,0,2,2,1,3,0,0,1.05,89.09,38.05,0.28,0.25,0.0,268.87,0.83,84.51,43.02,2.07,1.06,0.12,332.61
Rob Emerson,Nik Lentz,2010-03-31,Dale Frye,Blue,3-3-0,3,0,3,0,0,1,1,1,1,0,0,1-1-0,1,0,1,0,0,1,1,0,0,0,0,0.06,86.28,25.19,6.41,3.78,0.03,287.0,0.0,171.0,69.0,9.0,4.0,2.5,155.5
