r_name,b_name,event,date,month,year,gender,city,state,country,referee,winner,finish,finishdetails,finishround,titlebout,weightclass,numberofrounds,emptyarena,heightdif,agedif,reachdif,r_odds,r_age,r_age_range,r_stance,b_odds,b_age,r_age_range,b_stance,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds),r_undefeated,b_undefeated,r_wc_ranked,r_pfp_ranked,b_wc_ranked,b_pfp_ranked,r_champion,b_champion
Georges St-Pierre,Dan Hardy,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Kevin Mulhall,Red,U-DEC,,5,True,Welterweight,5,False,-2.54,1,5.08,-650,28,26-30,Orthodox,550,27,26-30,Orthodox,0.88,129.29,73.4,9.34,7.27,0.8,759.5,0.38,96.0,42.25,2.25,0.75,0.0,246.5,False,True,False,False,False,False,False,False
Jim Miller,Mark Bocek,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Yves Lavigne,Red,U-DEC,,3,False,Lightweight,3,False,0.0,-2,-10.16,-320,26,26-30,Southpaw,290,28,26-30,Orthodox,0.75,56.03,19.06,2.0,1.03,1.16,165.97,0.0,32.06,13.0,2.88,1.78,1.5,252.12,False,False,False,False,False,False,False,False
Kurt Pellegrino,Fabricio Camoes,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Yves Lavigne,Red,SUB,Rear Naked Choke,2,False,Lightweight,3,False,-5.08,-1,-7.62,-210,30,26-30,Orthodox,190,31,26-30,Orthodox,0.25,56.04,24.66,4.38,2.17,0.4,472.67,0.0,71.0,22.0,5.0,5.0,2.0,146.0,False,False,False,False,False,False,False,False
Matthew Riddle,Greg Soto,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Keith Peterson,Red,DQ,,3,False,Welterweight,3,False,5.08,1,2.54,-230,24,21-25,Southpaw,190,23,21-25,Orthodox,0.0,63.88,39.25,9.38,3.62,0.75,506.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False
Nate Diaz,Rory Markham,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Keith Peterson,Red,KO/TKO,Punches,1,False,Welterweight,3,False,0.0,-4,12.7,-235,24,21-25,Southpaw,195,28,21-25,Orthodox,0.0,158.45,45.48,3.14,0.82,1.05,57.83,0.5,14.5,4.0,0.0,0.0,0.0,0.5,False,False,False,False,False,False,False,False
Ricardo Almeida,Matt Brown,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Dan Miragliotta,Red,SUB,Rear Naked Choke,2,False,Welterweight,3,False,0.0,4,-2.54,-185,33,31-35,Orthodox,160,29,31-35,Orthodox,0.0,57.31,33.33,12.34,5.61,0.73,504.27,1.0,57.12,35.38,0.75,0.19,2.06,129.12,False,False,False,False,False,False,False,False
Rodney Wallace,Jared Hamman,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Kevin Mulhall,Blue,U-DEC,,3,False,Light Heavyweight,3,False,-15.24,0,-7.62,-160,28,26-30,Switch,140,28,26-30,Orthodox,0.0,35.0,15.0,15.0,7.0,2.0,359.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False
Rousimar Palhares,Tomasz Drwal,UFC 111: St-Pierre vs Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,Kevin Mulhall,Red,SUB,Heel Hook,1,False,Middleweight,3,False,-12.7,2,-12.7,-220,30,26-30,Orthodox,180,28,26-30,Orthodox,0.0,23.62,10.88,5.62,2.62,2.0,316.38,0.25,70.38,29.38,5.12,2.75,0.5,131.0,False,False,False,False,False,False,False,False
Andre Winner,Rafaello Oliveira,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Dale Frye,Red,U-DEC,,3,False,Lightweight,3,False,7.62,0,5.08,-190,28,26-30,Orthodox,165,28,26-30,Orthodox,1.0,57.0,30.0,1.0,0.0,0.0,187.0,0.0,77.5,25.0,7.0,5.0,2.0,510.5,False,False,False,False,False,False,False,False
Caol Uno,Gleison Tibau,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Bill Clancy,Blue,KO/TKO,Punches,1,False,Lightweight,3,False,-7.62,8,-2.54,270,34,31-35,Southpaw,-330,26,31-35,Southpaw,0.0,56.16,29.62,6.39,2.32,0.08,442.62,0.0,78.71,16.49,12.69,8.06,1.48,370.3,False,False,False,False,False,False,False,False
Charlie Brenneman,Jason High,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Dale Frye,Red,U-DEC,,3,False,Welterweight,3,False,5.08,1,2.54,173,29,26-30,Orthodox,-205,28,26-30,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False
Gerald Harris,Mario Miranda,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Bill Clancy,Red,KO/TKO,Punches,1,False,Middleweight,3,False,-10.16,0,7.62,-155,30,26-30,Southpaw,135,30,26-30,Orthodox,0.0,81.0,21.0,2.0,1.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False
