r_name,b_name,date,month,year,gender,city,state,country,finish,finishdetails,finishround,titlebout,weightclass,numberofrounds,emptyarena,r_odds,r_age,r_stance,b_odds,b_age,b_stance,r_wc_ranked,r_pfp_ranked,b_wc_ranked,b_pfp_ranked,r_champion,b_champion,r_undefeated,b_undefeated,r_age_range,b_age_range,heightdif,reachdif,agedif
Brian Ebersole,James Head,2012-07-21,7,2012,MALE,Calgary,Alberta,Canada,S-DEC,,3.0,False,Welterweight,3.0,0.0,-325.0,31.0,Southpaw,295.0,28.0,Orthodox,False,False,False,False,False,False,True,False,31-35,26-30,-2.54,0.0,3.0
Bryan Caraway,Mitch Gagnon,2012-07-21,7,2012,MALE,Calgary,Alberta,Canada,SUB,Rear Naked Choke,3.0,False,Bantamweight,3.0,0.0,-220.0,27.0,Orthodox,200.0,27.0,Southpaw,False,False,False,False,False,False,True,True,26-30,26-30,7.62,7.62,0.0
Cheick Kongo,Shawn Jordan,2012-07-21,7,2012,MALE,Calgary,Alberta,Canada,U-DEC,,3.0,False,Heavyweight,3.0,0.0,-125.0,37.0,Orthodox,115.0,27.0,Southpaw,False,False,False,False,False,False,False,True,36-40,26-30,10.16,17.78,10.0
Court McGee,Nick Ring,2012-07-21,7,2012,MALE,Calgary,Alberta,Canada,U-DEC,,3.0,False,Middleweight,3.0,0.0,-125.0,27.0,Orthodox,115.0,33.0,Southpaw,False,False,False,False,False,False,False,False,26-30,31-35,-2.54,2.54,-6.0
Hector Lombard,Tim Boetsch,2012-07-21,7,2012,MALE,Calgary,Alberta,Canada,S-DEC,,3.0,False,Middleweight,3.0,0.0,-310.0,34.0,Southpaw,280.0,31.0,Orthodox,False,False,False,False,False,False,True,False,31-35,31-35,-7.62,-7.62,3.0
Mitch Clarke,Anton Kuivanen,2012-07-21,7,2012,MALE,Calgary,Alberta,Canada,S-DEC,,3.0,False,Lightweight,3.0,0.0,155.0,26.0,Orthodox,-165.0,28.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,5.08,2.54,-2.0
Urijah Faber,Renan Barao,2012-07-21,7,2012,MALE,Calgary,Alberta,Canada,U-DEC,,5.0,True,Bantamweight,5.0,0.0,150.0,33.0,Orthodox,-160.0,25.0,Orthodox,False,False,False,False,False,False,False,True,31-35,21-25,0.0,-7.62,8.0
Cole Miller,Nam Phan,2012-08-04,8,2012,MALE,Los Angeles,California,USA,S-DEC,,3.0,False,Featherweight,3.0,0.0,-140.0,28.0,Orthodox,130.0,29.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,17.78,10.16,-1.0
Joe Lauzon,Jamie Varner,2012-08-04,8,2012,MALE,Los Angeles,California,USA,SUB,Triangle Choke,3.0,False,Lightweight,3.0,0.0,-115.0,28.0,Orthodox,105.0,27.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,5.08,-2.54,1.0
John Moraga,Ulysses Gomez,2012-08-04,8,2012,MALE,Los Angeles,California,USA,KO/TKO,Elbow,1.0,False,Flyweight,3.0,0.0,110.0,28.0,Orthodox,-120.0,29.0,Orthodox,False,False,False,False,False,False,True,True,26-30,26-30,0.0,0.0,-1.0
Josh Grispi,Rani Yahya,2012-08-04,8,2012,MALE,Los Angeles,California,USA,SUB,North-South Choke,1.0,False,Featherweight,3.0,0.0,-200.0,23.0,Orthodox,185.0,27.0,Orthodox,False,False,False,False,False,False,False,False,21-25,26-30,12.7,17.78,-4.0
Lyoto Machida,Ryan Bader,2012-08-04,8,2012,MALE,Los Angeles,California,USA,KO/TKO,Punch,2.0,False,Light Heavyweight,3.0,0.0,-275.0,34.0,Southpaw,250.0,29.0,Orthodox,False,False,False,False,False,False,False,False,31-35,26-30,-2.54,0.0,5.0
Manvel Gamburyan,Michihiro Omigawa,2012-08-04,8,2012,MALE,Los Angeles,California,USA,U-DEC,,3.0,False,Featherweight,3.0,0.0,-190.0,31.0,Orthodox,175.0,36.0,Orthodox,False,False,False,False,False,False,False,False,31-35,36-40,-2.54,-2.54,-5.0
Mauricio Rua,Brandon Vera,2012-08-04,8,2012,MALE,Los Angeles,California,USA,KO/TKO,Punches,4.0,False,Light Heavyweight,5.0,0.0,-400.0,30.0,Orthodox,355.0,34.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,-5.08,0.0,-4.0
Mike Swick,DaMarques Johnson,2012-08-04,8,2012,MALE,Los Angeles,California,USA,KO/TKO,Punch,2.0,False,Welterweight,3.0,0.0,-220.0,33.0,Orthodox,200.0,30.0,Orthodox,False,False,False,False,False,False,False,False,31-35,26-30,0.0,5.08,3.0
Philip De Fries,Oli Thompson,2012-08-04,8,2012,MALE,Los Angeles,California,USA,SUB,Other - Lock,2.0,False,Heavyweight,3.0,0.0,-210.0,26.0,Orthodox,190.0,32.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,10.16,17.78,-6.0
Benson Henderson,Frankie Edgar,2012-08-11,8,2012,MALE,Denver,Colorado,USA,S-DEC,,5.0,True,Lightweight,5.0,0.0,-185.0,28.0,Southpaw,170.0,30.0,Orthodox,False,False,False,False,False,False,True,False,26-30,26-30,7.62,5.08,-2.0
Dennis Bermudez,Tommy Hayden,2012-08-11,8,2012,MALE,Denver,Colorado,USA,SUB,Guillotine Choke,1.0,False,Featherweight,3.0,0.0,-315.0,25.0,Orthodox,285.0,26.0,Southpaw,False,False,False,False,False,False,False,False,21-25,26-30,-7.62,-15.24,-1.0
Donald Cerrone,Melvin Guillard,2012-08-11,8,2012,MALE,Denver,Colorado,USA,KO/TKO,Kick,1.0,False,Lightweight,3.0,0.0,-335.0,29.0,Orthodox,305.0,29.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,10.16,12.7,0.0
Dustin Pague,Chico Camus,2012-08-11,8,2012,MALE,Denver,Colorado,USA,U-DEC,,3.0,False,Bantamweight,3.0,0.0,-155.0,25.0,Orthodox,145.0,27.0,Orthodox,False,False,False,False,False,False,False,True,21-25,26-30,7.62,20.32,-2.0
Jared Hamman,Michael Kuiper,2012-08-11,8,2012,MALE,Denver,Colorado,USA,KO/TKO,Punch,2.0,False,Middleweight,3.0,0.0,145.0,30.0,Orthodox,-155.0,23.0,Orthodox,False,False,False,False,False,False,False,False,26-30,21-25,7.62,5.08,7.0
Justin Lawrence,Max Holloway,2012-08-11,8,2012,MALE,Denver,Colorado,USA,KO/TKO,Punch,2.0,False,Featherweight,3.0,0.0,150.0,22.0,Orthodox,-160.0,20.0,Orthodox,False,False,False,False,False,False,True,False,21-25,16-20,-7.62,-5.08,2.0
Ken Stone,Erik Perez,2012-08-11,8,2012,MALE,Denver,Colorado,USA,KO/TKO,Punch,1.0,False,Bantamweight,3.0,0.0,155.0,29.0,Orthodox,-165.0,22.0,Orthodox,False,False,False,False,False,False,False,True,26-30,21-25,0.0,7.62,7.0
Nik Lentz,Eiji Mitsuoka,2012-08-11,8,2012,MALE,Denver,Colorado,USA,KO/TKO,Punches,1.0,False,Featherweight,3.0,0.0,-500.0,27.0,Orthodox,435.0,36.0,Southpaw,False,False,False,False,False,False,False,False,26-30,36-40,2.54,-0.28,-9.0
Yushin Okami,Buddy Roberts,2012-08-11,8,2012,MALE,Denver,Colorado,USA,KO/TKO,Punches,2.0,False,Middleweight,3.0,0.0,-660.0,31.0,Southpaw,540.0,29.0,Orthodox,False,False,False,False,False,False,False,True,31-35,26-30,0.0,-2.5,2.0
Cub Swanson,Charles Oliveira,2012-09-22,9,2012,MALE,Toronto,Ontario,Canada,KO/TKO,Punch,1.0,False,Featherweight,3.0,0.0,215.0,28.0,Orthodox,-235.0,22.0,Orthodox,False,False,False,False,False,False,False,False,26-30,21-25,-5.08,-10.16,6.0
Igor Pokrajac,Vinny Magalhaes,2012-09-22,9,2012,MALE,Toronto,Ontario,Canada,SUB,Armbar,2.0,False,Light Heavyweight,3.0,0.0,-155.0,33.0,Orthodox,145.0,28.0,Orthodox,False,False,False,False,False,False,False,False,31-35,26-30,-7.62,-7.62,5.0
Jimy Hettes,Marcus Brimage,2012-09-22,9,2012,MALE,Toronto,Ontario,Canada,U-DEC,,3.0,False,Featherweight,3.0,0.0,-400.0,25.0,Southpaw,355.0,27.0,Southpaw,False,False,False,False,False,False,True,True,21-25,26-30,12.7,0.0,-2.0
Jon Jones,Vitor Belfort,2012-09-22,9,2012,MALE,Toronto,Ontario,Canada,SUB,Keylock,4.0,True,Light Heavyweight,5.0,0.0,-840.0,25.0,Orthodox,660.0,35.0,Southpaw,False,False,False,False,False,False,False,False,21-25,31-35,10.16,25.4,-10.0
Joseph Benavidez,Demetrious Johnson,2012-09-22,9,2012,MALE,Toronto,Ontario,Canada,S-DEC,,5.0,True,Flyweight,5.0,0.0,-245.0,28.0,Southpaw,225.0,26.0,Orthodox,False,False,False,False,False,False,True,False,26-30,26-30,2.54,-2.54,2.0
Kyle Noke,Charlie Brenneman,2012-09-22,9,2012,MALE,Toronto,Ontario,Canada,KO/TKO,Punch,1.0,False,Welterweight,3.0,0.0,195.0,32.0,Southpaw,-215.0,31.0,Orthodox,False,False,False,False,False,False,False,False,31-35,31-35,7.62,10.16,1.0
Matt Hamill,Roger Hollett,2012-09-22,9,2012,MALE,Toronto,Ontario,Canada,U-DEC,,3.0,False,Light Heavyweight,3.0,0.0,-340.0,35.0,Orthodox,310.0,33.0,Orthodox,False,False,False,False,False,False,False,True,31-35,31-35,5.08,15.24,2.0
Michael Bisping,Brian Stann,2012-09-22,9,2012,MALE,Toronto,Ontario,Canada,U-DEC,,3.0,False,Middleweight,3.0,0.0,-200.0,33.0,Orthodox,185.0,31.0,Orthodox,False,False,False,False,False,False,False,False,31-35,31-35,0.0,2.54,2.0
Mitch Gagnon,Walel Watson,2012-09-22,9,2012,MALE,Toronto,Ontario,Canada,SUB,Rear Naked Choke,1.0,False,Bantamweight,3.0,0.0,164.0,27.0,Southpaw,-174.0,28.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,-15.24,-10.16,-1.0
Sean Pierson,Lance Benoist,2012-09-22,9,2012,MALE,Toronto,Ontario,Canada,U-DEC,,3.0,False,Welterweight,3.0,0.0,200.0,36.0,Southpaw,-220.0,24.0,Southpaw,False,False,False,False,False,False,False,False,36-40,21-25,2.54,7.62,12.0
Seth Baczynski,Simeon Thoresen,2012-09-22,9,2012,MALE,Toronto,Ontario,Canada,KO/TKO,Punch,1.0,False,Welterweight,3.0,0.0,-115.0,30.0,Orthodox,105.0,28.0,Orthodox,False,False,False,False,False,False,False,True,26-30,26-30,5.08,-12.7,2.0
TJ Grant,Evan Dunham,2012-09-22,9,2012,MALE,Toronto,Ontario,Canada,U-DEC,,3.0,False,Lightweight,3.0,0.0,115.0,28.0,Orthodox,-125.0,30.0,Southpaw,False,False,False,False,False,False,False,False,26-30,26-30,0.0,5.08,-2.0
Andy Ogle,Akira Corassani,2012-09-29,9,2012,MALE,Nottingham,England,United Kingdom,S-DEC,,3.0,False,Featherweight,3.0,0.0,-155.0,23.0,Orthodox,145.0,30.0,Orthodox,False,False,False,False,False,False,True,True,21-25,26-30,0.0,2.54,-7.0
Brad Pickett,Yves Jabouin,2012-09-29,9,2012,MALE,Nottingham,England,United Kingdom,KO/TKO,Punch,1.0,False,Bantamweight,3.0,0.0,-156.0,34.0,Orthodox,146.0,33.0,Orthodox,False,False,False,False,False,False,False,False,31-35,31-35,-2.54,0.0,1.0
Che Mills,Duane Ludwig,2012-09-29,9,2012,MALE,Nottingham,England,United Kingdom,KO/TKO,,1.0,False,Welterweight,3.0,0.0,-230.0,30.0,Orthodox,210.0,34.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,7.62,15.24,-4.0
DaMarques Johnson,Gunnar Nelson,2012-09-29,9,2012,MALE,Nottingham,England,United Kingdom,SUB,Rear Naked Choke,1.0,False,Catch Weight,3.0,0.0,310.0,30.0,Orthodox,-340.0,24.0,Switch,False,False,False,False,False,False,False,True,26-30,21-25,5.08,7.62,6.0
Dan Hardy,Amir Sadollah,2012-09-29,9,2012,MALE,Nottingham,England,United Kingdom,U-DEC,,3.0,False,Welterweight,3.0,0.0,-230.0,30.0,Orthodox,210.0,32.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,5.08,0.0,-2.0
Jason Young,Robert Peralta,2012-09-29,9,2012,MALE,Nottingham,England,United Kingdom,KO/TKO,Punch,1.0,False,Featherweight,3.0,0.0,-115.0,26.0,Orthodox,105.0,26.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,2.54,5.08,0.0
John Hathaway,John Maguire,2012-09-29,9,2012,MALE,Nottingham,England,United Kingdom,U-DEC,,3.0,False,Welterweight,3.0,0.0,-255.0,25.0,Orthodox,235.0,29.0,Southpaw,False,False,False,False,False,False,False,True,21-25,26-30,10.16,15.24,-4.0
Kyle Kingsbury,Jimi Manuwa,2012-09-29,9,2012,MALE,Nottingham,England,United Kingdom,KO/TKO,,2.0,False,Light Heavyweight,3.0,0.0,225.0,30.0,Orthodox,-245.0,32.0,Orthodox,False,False,False,False,False,False,False,True,26-30,31-35,7.62,-7.62,-2.0
Paul Sass,Matt Wiman,2012-09-29,9,2012,MALE,Nottingham,England,United Kingdom,SUB,Armbar,1.0,False,Lightweight,3.0,0.0,-110.0,24.0,Orthodox,110.0,29.0,Orthodox,False,False,False,False,False,False,True,False,21-25,26-30,5.08,12.7,-5.0
Stefan Struve,Stipe Miocic,2012-09-29,9,2012,MALE,Nottingham,England,United Kingdom,KO/TKO,Punches,2.0,False,Heavyweight,5.0,0.0,155.0,24.0,Orthodox,-165.0,30.0,Orthodox,False,False,False,False,False,False,False,True,21-25,26-30,17.78,10.16,-6.0
Tom Watson,Brad Tavares,2012-09-29,9,2012,MALE,Nottingham,England,United Kingdom,S-DEC,,3.0,False,Middleweight,3.0,0.0,150.0,30.0,Orthodox,-160.0,24.0,Orthodox,False,False,False,False,False,False,True,False,26-30,21-25,0.0,-2.54,6.0
Aaron Simpson,Mike Pierce,2012-10-05,10,2012,MALE,Minneapolis,Minnesota,USA,KO/TKO,Punch,2.0,False,Welterweight,3.0,0.0,135.0,38.0,Orthodox,-145.0,32.0,Orthodox,False,False,False,False,False,False,False,False,36-40,31-35,10.16,7.62,6.0
Bart Palaszewski,Diego Nunes,2012-10-05,10,2012,MALE,Minneapolis,Minnesota,USA,U-DEC,,3.0,False,Featherweight,3.0,0.0,177.0,29.0,Orthodox,-192.0,29.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,7.62,7.62,0.0
Darren Uyenoyama,Phil Harris,2012-10-05,10,2012,MALE,Minneapolis,Minnesota,USA,SUB,Rear Naked Choke,2.0,False,Flyweight,3.0,0.0,-300.0,32.0,Orthodox,270.0,29.0,Orthodox,False,False,False,False,False,False,True,True,31-35,26-30,5.08,0.0,3.0
Jacob Volkmann,Shane Roller,2012-10-05,10,2012,MALE,Minneapolis,Minnesota,USA,SUB,Rear Naked Choke,1.0,False,Lightweight,3.0,0.0,-170.0,32.0,Southpaw,160.0,33.0,Orthodox,False,False,False,False,False,False,False,False,31-35,31-35,-2.54,-2.54,-1.0
Jake Ellenberger,Jay Hieron,2012-10-05,10,2012,MALE,Minneapolis,Minnesota,USA,U-DEC,,3.0,False,Welterweight,3.0,0.0,-310.0,27.0,Orthodox,280.0,36.0,Orthodox,False,False,False,False,False,False,False,False,26-30,36-40,-7.62,-10.16,-9.0
John Dodson,Jussier Formiga,2012-10-05,10,2012,MALE,Minneapolis,Minnesota,USA,KO/TKO,Punch,2.0,False,Flyweight,3.0,0.0,-255.0,28.0,Orthodox,235.0,27.0,Orthodox,False,False,False,False,False,False,True,True,26-30,26-30,-5.08,-2.54,1.0
Josh Neer,Justin Edwards,2012-10-05,10,2012,MALE,Minneapolis,Minnesota,USA,SUB,Guillotine Choke,1.0,False,Welterweight,3.0,0.0,-280.0,29.0,Orthodox,255.0,29.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,2.54,5.08,0.0
Marcus LeVesseur,Carlo Prater,2012-10-05,10,2012,MALE,Minneapolis,Minnesota,USA,S-DEC,,3.0,False,Lightweight,3.0,0.0,-155.0,30.0,Southpaw,145.0,31.0,Switch,False,False,False,False,False,False,False,False,26-30,31-35,-5.08,-5.08,-1.0
Michael Johnson,Danny Castillo,2012-10-05,10,2012,MALE,Minneapolis,Minnesota,USA,KO/TKO,Punch,2.0,False,Lightweight,3.0,0.0,-185.0,26.0,Southpaw,170.0,33.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,2.54,5.08,-7.0
Travis Browne,Antonio Silva,2012-10-05,10,2012,MALE,Minneapolis,Minnesota,USA,KO/TKO,Punch,1.0,False,Heavyweight,5.0,0.0,-185.0,30.0,Orthodox,170.0,33.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,5.08,-2.54,-3.0
Anderson Silva,Stephan Bonnar,2012-10-13,10,2012,MALE,Rio de Janeiro,,Brazil,KO/TKO,Knee,1.0,False,Light Heavyweight,3.0,0.0,-1000.0,37.0,Southpaw,800.0,35.0,Orthodox,False,False,False,False,False,False,True,False,36-40,31-35,-5.08,-2.54,2.0
Cristiano Marcello,Reza Madadi,2012-10-13,10,2012,MALE,Rio de Janeiro,,Brazil,S-DEC,,3.0,False,Lightweight,3.0,0.0,135.0,34.0,Orthodox,-145.0,34.0,Orthodox,False,False,False,False,False,False,False,True,31-35,31-35,-5.08,0.0,0.0
Demian Maia,Rick Story,2012-10-13,10,2012,MALE,Rio de Janeiro,,Brazil,SUB,Rear Naked Choke,1.0,False,Welterweight,3.0,0.0,-115.0,34.0,Southpaw,105.0,28.0,Southpaw,False,False,False,False,False,False,False,False,31-35,26-30,10.16,2.54,6.0
Diego Brandao,Joey Gambino,2012-10-13,10,2012,MALE,Rio de Janeiro,,Brazil,U-DEC,,3.0,False,Featherweight,3.0,0.0,-250.0,25.0,Orthodox,230.0,23.0,Orthodox,False,False,False,False,False,False,False,False,21-25,21-25,0.0,-5.28,2.0
Gleison Tibau,Francisco Trinaldo,2012-10-13,10,2012,MALE,Rio de Janeiro,,Brazil,U-DEC,,3.0,False,Lightweight,3.0,0.0,-130.0,29.0,Southpaw,120.0,34.0,Southpaw,False,False,False,False,False,False,False,True,26-30,31-35,2.54,2.54,-5.0
Glover Teixeira,Fabio Maldonado,2012-10-13,10,2012,MALE,Rio de Janeiro,,Brazil,KO/TKO,,2.0,False,Light Heavyweight,3.0,0.0,-475.0,32.0,Orthodox,420.0,32.0,Orthodox,False,False,False,False,False,False,True,False,31-35,31-35,2.54,2.54,0.0
Jon Fitch,Erick Silva,2012-10-13,10,2012,MALE,Rio de Janeiro,,Brazil,U-DEC,,3.0,False,Welterweight,3.0,0.0,177.0,34.0,Orthodox,-192.0,28.0,Orthodox,False,False,False,False,False,False,False,False,31-35,26-30,0.0,5.08,6.0
Luiz Cane,Chris Camozzi,2012-10-13,10,2012,MALE,Rio de Janeiro,,Brazil,U-DEC,,3.0,False,Middleweight,3.0,0.0,-145.0,31.0,Southpaw,135.0,25.0,Orthodox,False,False,False,False,False,False,False,False,31-35,21-25,0.0,2.54,6.0
Minotauro Nogueira,Dave Herman,2012-10-13,10,2012,MALE,Rio de Janeiro,,Brazil,,,,False,Heavyweight,3.0,0.0,-210.0,36.0,Orthodox,190.0,28.0,Orthodox,False,False,False,False,False,False,False,False,36-40,26-30,-2.54,2.54,8.0
Phil Davis,Wagner Prado,2012-10-13,10,2012,MALE,Rio de Janeiro,,Brazil,SUB,Anaconda Choke,2.0,False,Light Heavyweight,3.0,0.0,-355.0,28.0,Orthodox,320.0,25.0,Southpaw,False,False,False,False,False,False,False,False,26-30,21-25,5.08,12.7,3.0
Rony Jason,Sam Sicilia,2012-10-13,10,2012,MALE,Rio de Janeiro,,Brazil,KO/TKO,Punch,2.0,False,Featherweight,3.0,0.0,-210.0,28.0,Orthodox,190.0,26.0,Orthodox,False,False,False,False,False,False,True,True,26-30,26-30,-2.54,7.62,2.0
Sergio Moraes,Renee Forte,2012-10-13,10,2012,MALE,Rio de Janeiro,,Brazil,SUB,Rear Naked Choke,3.0,False,Welterweight,3.0,0.0,-210.0,30.0,Orthodox,190.0,25.0,Orthodox,False,False,False,False,False,False,False,True,26-30,21-25,12.7,2.54,5.0
Alex Caceres,Motonobu Tezuka,2012-11-10,11,2012,MALE,Macau,,China,S-DEC,,3.0,False,Bantamweight,3.0,0.0,-220.0,24.0,Southpaw,200.0,25.0,Southpaw,False,False,False,False,False,False,False,True,21-25,21-25,7.62,17.78,-1.0
Dong Hyun Kim,Paulo Thiago,2012-11-10,11,2012,MALE,Macau,,China,U-DEC,,3.0,False,Welterweight,3.0,0.0,-320.0,30.0,Southpaw,290.0,31.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,7.62,7.62,-1.0
Rich Franklin,Cung Le,2012-11-10,11,2012,MALE,Macau,,China,KO/TKO,Punch,1.0,False,Middleweight,5.0,0.0,-450.0,38.0,Southpaw,400.0,40.0,Southpaw,False,False,False,False,False,False,False,False,36-40,36-40,10.16,15.24,-2.0
Riki Fukuda,Tom DeBlass,2012-11-10,11,2012,MALE,Macau,,China,U-DEC,,3.0,False,Middleweight,3.0,0.0,-260.0,31.0,Southpaw,240.0,30.0,Orthodox,False,False,False,False,False,False,False,False,31-35,26-30,0.0,-5.08,1.0
Takanori Gomi,Mac Danzig,2012-11-10,11,2012,MALE,Macau,,China,S-DEC,,3.0,False,Lightweight,3.0,0.0,170.0,34.0,Southpaw,-185.0,32.0,Orthodox,False,False,False,False,False,False,False,False,31-35,31-35,-2.54,0.0,2.0
Takeya Mizugaki,Jeff Hougland,2012-11-10,11,2012,MALE,Macau,,China,U-DEC,,3.0,False,Bantamweight,3.0,0.0,-440.0,28.0,Orthodox,390.0,34.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,0.0,0.0,-6.0
Tiequan Zhang,Jon Tuck,2012-11-10,11,2012,MALE,Macau,,China,U-DEC,,3.0,False,Lightweight,3.0,0.0,285.0,34.0,Orthodox,-315.0,28.0,Orthodox,False,False,False,False,False,False,False,True,31-35,26-30,-7.62,-7.62,6.0
Yasuhiro Urushitani,John Lineker,2012-11-10,11,2012,MALE,Macau,,China,U-DEC,,3.0,False,Flyweight,3.0,0.0,195.0,36.0,Southpaw,-215.0,22.0,Orthodox,False,False,False,False,False,False,False,False,36-40,21-25,5.08,-0.18,14.0
Antonio Carvalho,Rodrigo Damm,2012-11-17,11,2012,MALE,Montreal,Quebec,Canada,S-DEC,,3.0,False,Featherweight,3.0,0.0,-205.0,33.0,Orthodox,188.0,32.0,Orthodox,False,False,False,False,False,False,False,True,31-35,31-35,5.08,-7.62,1.0
Cyrille Diabate,Chad Griggs,2012-11-17,11,2012,MALE,Montreal,Quebec,Canada,SUB,Rear Naked Choke,1.0,False,Light Heavyweight,3.0,0.0,-125.0,39.0,Southpaw,115.0,34.0,Orthodox,False,False,False,False,False,False,False,False,36-40,31-35,12.7,20.32,5.0
Francis Carmont,Tom Lawlor,2012-11-17,11,2012,MALE,Montreal,Quebec,Canada,S-DEC,,3.0,False,Middleweight,3.0,0.0,-245.0,31.0,Orthodox,225.0,29.0,Southpaw,False,False,False,False,False,False,True,False,31-35,26-30,7.62,10.16,2.0
Georges St-Pierre,Carlos Condit,2012-11-17,11,2012,MALE,Montreal,Quebec,Canada,U-DEC,,5.0,True,Welterweight,5.0,0.0,-300.0,31.0,Orthodox,270.0,28.0,Orthodox,False,False,False,False,False,False,False,False,31-35,26-30,-7.62,2.54,3.0
Ivan Menjivar,Azamat Gashimov,2012-11-17,11,2012,MALE,Montreal,Quebec,Canada,SUB,Armbar,1.0,False,Bantamweight,3.0,0.0,-215.0,30.0,Orthodox,195.0,22.0,Orthodox,False,False,False,False,False,False,False,True,26-30,21-25,0.0,-5.08,8.0
Johny Hendricks,Martin Kampmann,2012-11-17,11,2012,MALE,Montreal,Quebec,Canada,KO/TKO,Punch,1.0,False,Welterweight,3.0,0.0,-167.0,29.0,Southpaw,157.0,30.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,-7.62,-7.62,-1.0
Mark Bocek,Rafael Dos Anjos,2012-11-17,11,2012,MALE,Montreal,Quebec,Canada,U-DEC,,3.0,False,Lightweight,3.0,0.0,190.0,31.0,Orthodox,-210.0,28.0,Southpaw,False,False,False,False,False,False,False,False,31-35,26-30,0.0,12.7,3.0
Mark Hominick,Pablo Garza,2012-11-17,11,2012,MALE,Montreal,Quebec,Canada,U-DEC,,3.0,False,Featherweight,3.0,0.0,-280.0,30.0,Orthodox,255.0,29.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,-12.7,-12.7,1.0
Matthew Riddle,John Maguire,2012-11-17,11,2012,MALE,Montreal,Quebec,Canada,U-DEC,,3.0,False,Welterweight,3.0,0.0,-220.0,26.0,Southpaw,200.0,29.0,Southpaw,False,False,False,False,False,False,False,False,26-30,26-30,10.16,12.7,-3.0
Patrick Cote,Alessio Sakara,2012-11-17,11,2012,MALE,Montreal,Quebec,Canada,DQ,,1.0,False,Middleweight,3.0,0.0,-210.0,32.0,Orthodox,190.0,31.0,Orthodox,False,False,False,False,False,False,False,False,31-35,31-35,-2.54,-2.54,1.0
Sam Stout,John Makdessi,2012-11-17,11,2012,MALE,Montreal,Quebec,Canada,U-DEC,,3.0,False,Lightweight,3.0,0.0,-200.0,28.0,Orthodox,185.0,27.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,2.54,5.08,1.0
Steven Siler,Darren Elkins,2012-11-17,11,2012,MALE,Montreal,Quebec,Canada,U-DEC,,3.0,False,Featherweight,3.0,0.0,100.0,25.0,Orthodox,-110.0,28.0,Orthodox,False,False,False,False,False,False,True,False,21-25,26-30,2.54,-2.54,-3.0
BJ Penn,Rory MacDonald,2012-12-08,12,2012,MALE,Seattle,Washington,USA,U-DEC,,3.0,False,Welterweight,3.0,0.0,275.0,33.0,Orthodox,-335.0,23.0,Orthodox,False,False,False,False,False,False,False,False,31-35,21-25,-7.62,-15.24,10.0
Benson Henderson,Nate Diaz,2012-12-08,12,2012,MALE,Seattle,Washington,USA,U-DEC,,5.0,True,Lightweight,5.0,0.0,-225.0,29.0,Southpaw,185.0,27.0,Southpaw,False,False,False,False,False,False,True,False,26-30,26-30,-7.62,-15.24,2.0
Daron Cruickshank,Henry Martinez,2012-12-08,12,2012,MALE,Seattle,Washington,USA,KO/TKO,Kick,2.0,False,Lightweight,3.0,0.0,-170.0,27.0,Switch,150.0,29.0,Southpaw,False,False,False,False,False,False,True,False,26-30,26-30,2.54,10.16,-2.0
Dennis Siver,Nam Phan,2012-12-08,12,2012,MALE,Seattle,Washington,USA,U-DEC,,3.0,False,Featherweight,3.0,0.0,-290.0,33.0,Orthodox,245.0,29.0,Orthodox,False,False,False,False,False,False,False,False,31-35,26-30,0.0,0.0,4.0
Marcus LeVesseur,Abel Trujillo,2012-12-08,12,2012,MALE,Seattle,Washington,USA,KO/TKO,Knees,2.0,False,Lightweight,3.0,0.0,-140.0,30.0,Southpaw,120.0,29.0,Orthodox,False,False,False,False,False,False,False,True,26-30,26-30,2.54,0.0,1.0
Mauricio Rua,Alexander Gustafsson,2012-12-08,12,2012,MALE,Seattle,Washington,USA,U-DEC,,3.0,False,Light Heavyweight,3.0,0.0,240.0,31.0,Orthodox,-280.0,25.0,Orthodox,False,False,False,False,False,False,False,False,31-35,21-25,-10.16,-7.62,6.0
Mike Swick,Matt Brown,2012-12-08,12,2012,MALE,Seattle,Washington,USA,KO/TKO,Punches,2.0,False,Welterweight,3.0,0.0,-140.0,33.0,Orthodox,120.0,31.0,Orthodox,False,False,False,False,False,False,False,False,31-35,31-35,2.54,5.08,2.0
