r_name,b_name,date,month,year,gender,city,state,country,finish,finishdetails,finishround,titlebout,weightclass,numberofrounds,emptyarena,r_odds,r_age,r_stance,b_odds,b_age,b_stance,r_wc_ranked,r_pfp_ranked,b_wc_ranked,b_pfp_ranked,r_champion,b_champion,r_undefeated,b_undefeated,r_age_range,b_age_range,heightdif,reachdif,agedif
Andre Winner,Rafaello Oliveira,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,U-DEC,,3.0,False,Lightweight,3.0,0.0,-190.0,28.0,Orthodox,165.0,28.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,7.62,5.08,0.0
Caol Uno,Gleison Tibau,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,KO/TKO,Punches,1.0,False,Lightweight,3.0,0.0,270.0,34.0,Southpaw,-330.0,26.0,Southpaw,False,False,False,False,False,False,False,False,31-35,26-30,-7.62,-2.54,8.0
Charlie Brenneman,Jason High,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,U-DEC,,3.0,False,Welterweight,3.0,0.0,173.0,29.0,Orthodox,-205.0,28.0,Southpaw,False,False,False,False,False,False,True,True,26-30,26-30,5.08,2.54,1.0
Gerald Harris,Mario Miranda,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,KO/TKO,Punches,1.0,False,Middleweight,3.0,0.0,-155.0,30.0,Southpaw,135.0,30.0,Orthodox,False,False,False,False,False,False,True,True,26-30,26-30,-10.16,7.62,0.0
Jacob Volkmann,Ronys Torres,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,S-DEC,,3.0,False,Lightweight,3.0,0.0,190.0,29.0,Southpaw,-230.0,34.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,5.08,0.04,-5.0
Kenny Florian,Takanori Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,SUB,Rear Naked Choke,3.0,False,Lightweight,3.0,0.0,-360.0,33.0,Southpaw,300.0,31.0,Southpaw,False,False,False,False,False,False,False,True,31-35,31-35,7.62,10.16,2.0
Nate Quarry,Jorge Rivera,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,KO/TKO,Punches,2.0,False,Middleweight,3.0,0.0,-230.0,38.0,Open Stance,190.0,38.0,Orthodox,False,False,False,False,False,False,False,False,36-40,36-40,-2.54,-2.54,0.0
Rob Emerson,Nik Lentz,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,U-DEC,,3.0,False,Lightweight,3.0,0.0,130.0,28.0,Orthodox,-150.0,25.0,Orthodox,False,False,False,False,False,False,False,False,26-30,21-25,2.54,5.08,3.0
Ross Pearson,Dennis Siver,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,U-DEC,,3.0,False,Lightweight,3.0,0.0,-220.0,25.0,Orthodox,180.0,31.0,Orthodox,False,False,False,False,False,False,True,False,21-25,31-35,5.08,-2.54,-6.0
Roy Nelson,Stefan Struve,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,KO/TKO,Punch,1.0,False,Heavyweight,3.0,0.0,-350.0,33.0,Orthodox,290.0,22.0,Orthodox,False,False,False,False,False,False,True,False,31-35,21-25,-27.94,-30.48,11.0
