"fighter","fights","wins","win_pct","avg_sig_str_rate","rank_sigstr","avg_td_landed","rank_td_landed","avg_ctrl_time_s","rank_ctrl_time","avg_avgkd","rank_avgkd","overall_rank"
"Paddy Holohan","6","3","0.50","0.432","436","0.90","345","224.6","113","0.48","91","298"
"Sean Pierson","6","4","0.67","0.402","554","0.45","517","134.7","295","0.32","197","299"
"Matt Mitrione","13","8","0.62","0.500","200","0.00","697","34.3","653","0.67","36","300"
"Lina Lansberg","8","4","0.50","0.582","46","0.46","513","198.1","146","0.00","552","301"
"Thiago Santos","21","13","0.62","0.457","348","0.37","565","69.8","524","0.58","58","302"
"Paul Craig","10","6","0.60","0.505","187","0.86","353","79.8","483","0.04","546","303"
"Patrick Cummins","13","6","0.46","0.498","206","2.58","51","208.2","129","0.00","552","304"
"Luis Pena","7","4","0.57","0.426","462","0.79","388","224.6","112","0.28","239","305"
"Sabina Mazo","5","3","0.60","0.467","302","0.70","413","133.1","304","0.10","484","306"
"Stevie Ray","12","8","0.67","0.472","278","0.40","534","84.8","463","0.09","501","307"
"Reza Madadi","7","3","0.43","0.569","68","2.17","91","147.8","267","0.00","552","308"
"James Te Huna","10","4","0.40","0.509","172","1.62","154","197.9","147","0.20","335","309"
"Thiago Moises","6","4","0.67","0.454","354","0.79","386","86.3","455","0.00","552","310"
"Takeya Mizugaki","14","8","0.57","0.408","526","1.42","202","197.5","148","0.21","323","311"
"Sergio Moraes","14","9","0.64","0.449","368","0.82","372","118.7","342","0.05","541","312"
"Adriano Martins","7","4","0.57","0.490","220","0.66","427","83.8","469","0.24","291","313"
"Raphael Assuncao","17","12","0.71","0.427","458","0.98","321","73.5","503","0.12","466","314"
"Charlie Brenneman","11","4","0.36","0.577","55","2.35","68","312.1","34","0.00","552","315"
"Francis Ngannou","12","10","0.83","0.419","489","0.00","697","13.9","719","0.45","112","316"
"Gavin Tucker","6","4","0.67","0.402","553","1.76","131","97.1","418","0.00","552","317"
"Robbie Lawler","15","9","0.60","0.462","328","0.40","540","70.6","515","0.36","167","318"
"Edson Barboza","24","15","0.63","0.444","385","0.41","533","48.1","609","0.52","81","319"
"Ramsey Nijem","10","5","0.50","0.416","501","2.19","87","181.9","176","0.25","279","320"
"Thiago Tavares","10","6","0.60","0.401","558","1.87","120","179.0","182","0.00","552","321"
"Livinha Souza","5","3","0.60","0.463","327","1.47","193","76.2","495","0.00","552","322"
"Brendan Schaub","10","6","0.60","0.389","595","0.96","331","122.2","330","0.40","137","323"
"Yan Xiaonan","6","6","1.00","0.423","476","0.54","480","40.4","630","0.00","552","324"
"Mike Perry","14","7","0.50","0.492","217","0.39","542","78.5","487","0.75","19","325"
"Shamil Abdurakhimov","8","5","0.63","0.441","401","0.78","391","85.9","458","0.17","388","326"
"Albert Tumenov","9","6","0.67","0.423","473","0.28","609","40.0","631","0.64","44","327"
"Brian Stann","7","4","0.57","0.463","325","0.00","697","108.3","377","0.79","13","328"
"Alexander Hernandez","7","4","0.57","0.452","362","0.88","349","72.6","507","0.35","174","329"
"Mackenzie Dern","6","5","0.83","0.368","650","0.32","587","123.5","328","0.15","406","330"
"Justine Kish","6","3","0.50","0.509","173","1.21","260","124.1","325","0.00","552","331"
"Tim Means","22","13","0.59","0.471","282","0.57","471","59.4","565","0.36","162","331"
"Dominique Steele","5","1","0.20","0.630","12","1.60","158","143.2","277","0.33","190","333"
"Luis Henrique","7","3","0.43","0.483","245","1.62","153","297.9","41","0.00","552","334"
"Colton Smith","5","1","0.20","0.512","162","3.20","27","337.2","24","0.20","339","335"
"John Howard","11","4","0.36","0.527","122","1.96","113","191.4","163","0.18","377","336"
"Santiago Ponzinibbio","12","9","0.75","0.385","609","0.27","612","32.4","656","0.71","24","336"
"Jimi Manuwa","12","6","0.50","0.565","71","0.25","625","70.5","519","0.32","195","338"
"Brian Ortega","8","7","0.88","0.357","674","0.37","560","50.2","600","0.34","184","339"
"Al Iaquinta","14","9","0.64","0.419","491","0.57","468","47.0","615","0.49","87","340"
"Louis Smolka","15","8","0.53","0.465","313","0.99","314","178.3","185","0.12","465","341"
"Chan Sung Jung","9","6","0.67","0.381","621","0.66","425","78.1","489","0.35","173","342"
"Zak Cummings","14","10","0.71","0.329","712","0.71","411","102.8","396","0.29","232","343"
"Chico Camus","7","3","0.43","0.511","164","0.98","323","287.4","46","0.00","552","344"
"Anthony Smith","15","9","0.60","0.472","276","0.31","590","37.2","644","0.33","188","345"
"Marc Diakiese","8","5","0.63","0.384","613","1.55","174","111.4","366","0.15","411","345"
"Max Griffin","11","5","0.45","0.470","288","1.23","254","114.8","355","0.36","164","347"
"Calvin Kattar","9","6","0.67","0.423","475","0.50","498","14.4","718","0.40","131","348"
"Dooho Choi","6","3","0.50","0.605","26","0.13","669","12.5","725","0.63","47","349"
"Paul Felder","16","10","0.63","0.454","356","0.25","626","100.0","405","0.19","362","350"
"Peter Sobotta","10","5","0.50","0.393","584","1.38","217","238.4","95","0.31","211","351"
"Lauren Murphy","10","6","0.60","0.419","488","0.84","362","165.8","215","0.09","507","352"
"Diego Ferreira","12","9","0.75","0.407","529","0.45","516","62.9","557","0.16","396","353"
"Uriah Hall","17","9","0.53","0.524","129","0.54","482","48.1","608","0.31","212","354"
"Bryan Barberena","11","6","0.55","0.493","215","0.18","647","78.0","490","0.58","59","354"
"Dennis Siver","14","9","0.64","0.322","715","0.79","387","131.4","307","0.38","144","356"
"Mitch Gagnon","9","5","0.56","0.464","321","0.84","361","120.0","338","0.18","375","357"
"Montana De La Rosa","6","4","0.67","0.344","696","1.00","307","175.6","190","0.08","511","358"
"Sijara Eubanks","8","4","0.50","0.418","496","1.72","138","238.5","94","0.12","458","359"
"Yushin Okami","12","7","0.58","0.382","620","1.10","286","237.8","96","0.21","333","360"
"Curtis Millender","5","3","0.60","0.464","316","0.17","649","11.5","727","0.75","17","361"
"Anderson Silva","14","7","0.50","0.563","75","0.09","681","23.5","692","0.71","25","362"
"Jimmie Rivera","11","7","0.64","0.427","460","0.54","479","44.4","623","0.36","165","363"
"Joanna Jedrzejczyk","14","10","0.71","0.446","377","0.25","627","72.7","505","0.07","531","364"
