r_fighter,gender,weightclass,r_age,r_stance,r_heightcms,r_reachcms,r_weightlbs,r_record,r_losses,r_draws,r_wins,r_winbydecisionmajority,r_winbydecisionunanimous,r_winsbydecisionmajority,r_winsbydecisionsplit,r_winsbydecisionunanimous,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,r_matchwcrank,r_pfprank
Alessio Sakara,MALE,Middleweight,28.0,Orthodox,182.88,182.88,185.0,5.0-5.0-0.0,5.0,0.0,5.0,0.0,1.0,0.0,,1.0,3.0,0.0,0.0,,
Brandon Vera,MALE,Light Heavyweight,32.0,Orthodox,190.5,193.04,230.0,7.0-4.0-0.0,4.0,0.0,7.0,0.0,2.0,0.0,,2.0,4.0,1.0,0.0,,
Brendan Schaub,MALE,Heavyweight,27.0,Orthodox,193.04,198.12,245.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Cheick Kongo,MALE,Heavyweight,34.0,Orthodox,193.04,208.28,240.0,7.0-4.0-0.0,4.0,0.0,7.0,1.0,1.0,1.0,,1.0,4.0,0.0,1.0,,
Clay Guida,MALE,Lightweight,28.0,Orthodox,170.18,177.8,155.0,5.0-5.0-0.0,5.0,0.0,5.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,,
Duane Ludwig,MALE,Lightweight,31.0,Orthodox,177.8,177.8,170.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Eliot Marshall,MALE,Light Heavyweight,29.0,Orthodox,187.96,195.58,205.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
Eric Schafer,MALE,Light Heavyweight,32.0,Orthodox,190.5,190.5,185.0,3.0-3.0-0.0,3.0,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.0,,
John Howard,MALE,Welterweight,27.0,Orthodox,170.18,180.34,170.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Junior Dos Santos,MALE,Heavyweight,26.0,Orthodox,193.04,195.58,238.0,4.0-0.0-0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,,
Mike Pierce,MALE,Welterweight,29.0,Orthodox,172.72,177.8,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Ben Saunders,MALE,Welterweight,26.0,Orthodox,187.96,195.58,170.0,4.0-1.0-0.0,1.0,0.0,4.0,0.0,1.0,0.0,,1.0,2.0,1.0,0.0,,
Frank Mir,MALE,Heavyweight,30.0,Southpaw,190.5,200.66,264.0,11.0-4.0-0.0,4.0,0.0,11.0,0.0,1.0,0.0,,1.0,2.0,7.0,0.0,,
Georges St-Pierre,MALE,Welterweight,28.0,Orthodox,180.34,193.04,185.0,13.0-2.0-0.0,2.0,0.0,13.0,0.0,5.0,0.0,,5.0,5.0,2.0,0.0,,
Jim Miller,MALE,Lightweight,26.0,Southpaw,172.72,180.34,155.0,5.0-1.0-0.0,1.0,0.0,5.0,0.0,2.0,0.0,,2.0,1.0,2.0,0.0,,
Kurt Pellegrino,MALE,Lightweight,30.0,Orthodox,172.72,177.8,155.0,6.0-3.0-0.0,3.0,0.0,6.0,0.0,2.0,0.0,,2.0,1.0,3.0,0.0,,
Matthew Riddle,MALE,Welterweight,24.0,Southpaw,185.42,187.96,170.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,,
Nate Diaz,MALE,Welterweight,24.0,Southpaw,182.88,193.04,170.0,6.0-3.0-0.0,3.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,,
Ricardo Almeida,MALE,Welterweight,33.0,Orthodox,182.88,187.96,170.0,4.0-3.0-0.0,3.0,0.0,4.0,0.0,2.0,0.0,,2.0,0.0,2.0,0.0,,
Rodney Wallace,MALE,Light Heavyweight,28.0,Switch,175.26,182.88,205.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Rousimar Palhares,MALE,Middleweight,30.0,Orthodox,172.72,180.34,170.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,,
Andre Winner,MALE,Lightweight,28.0,Orthodox,180.34,185.42,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Caol Uno,MALE,Lightweight,34.0,Southpaw,170.18,177.8,155.0,3.0-6.0-0.0,6.0,0.0,3.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,,
Charlie Brenneman,MALE,Welterweight,29.0,Orthodox,177.8,182.88,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Gerald Harris,MALE,Middleweight,30.0,Southpaw,180.34,195.58,185.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Jacob Volkmann,MALE,Lightweight,29.0,Southpaw,175.26,180.34,155.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Kenny Florian,MALE,Lightweight,33.0,Southpaw,177.8,187.96,145.0,10.0-3.0-0.0,3.0,0.0,10.0,0.0,1.0,0.0,,1.0,2.0,6.0,1.0,,
Nate Quarry,MALE,Middleweight,38.0,Open Stance,182.88,182.88,185.0,7.0-2.0-0.0,2.0,0.0,7.0,0.0,2.0,0.0,,2.0,5.0,0.0,0.0,,
Rob Emerson,MALE,Lightweight,28.0,Orthodox,175.26,177.8,155.0,3.0-3.0-0.0,3.0,0.0,3.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Ross Pearson,MALE,Lightweight,25.0,Orthodox,172.72,175.26,155.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,,
Roy Nelson,MALE,Heavyweight,33.0,Orthodox,182.88,182.88,263.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Yushin Okami,MALE,Middleweight,28.0,Southpaw,187.96,190.5,170.0,7.0-2.0-0.0,2.0,0.0,7.0,0.0,4.0,0.0,,4.0,3.0,0.0,0.0,,
Alexander Gustafsson,MALE,Light Heavyweight,23.0,Orthodox,195.58,200.66,205.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Anderson Silva,MALE,Middleweight,34.0,Southpaw,187.96,195.58,185.0,10.0-0.0-0.0,0.0,0.0,10.0,0.0,1.0,0.0,,1.0,7.0,2.0,0.0,,
BJ Penn,MALE,Lightweight,31.0,Orthodox,175.26,177.8,155.0,11.0-5.0-0.0,5.0,0.0,11.0,0.0,1.0,0.0,,1.0,5.0,4.0,1.0,,
DaMarques Johnson,MALE,Welterweight,27.0,Orthodox,185.42,190.5,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Jon Madsen,MALE,Heavyweight,30.0,Orthodox,182.88,182.88,240.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Kendall Grove,MALE,Middleweight,27.0,Orthodox,198.12,200.66,185.0,6.0-3.0-0.0,3.0,0.0,6.0,0.0,1.0,0.0,,1.0,2.0,2.0,0.0,,
Matt Hughes,MALE,Welterweight,36.0,Switch,175.26,185.42,170.0,16.0-5.0-0.0,5.0,0.0,16.0,0.0,5.0,0.0,,5.0,5.0,4.0,2.0,,
Nick Osipczak,MALE,Welterweight,25.0,Orthodox,187.96,193.04,170.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,
Paul Kelly,MALE,Lightweight,25.0,Orthodox,175.26,177.8,155.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,,
Terry Etim,MALE,Lightweight,24.0,Orthodox,185.42,185.42,155.0,5.0-2.0-0.0,2.0,0.0,5.0,0.0,1.0,0.0,,1.0,1.0,3.0,0.0,,
Jason MacDonald,MALE,Middleweight,34.0,Orthodox,190.5,203.2,185.0,5.0-5.0-0.0,5.0,0.0,5.0,0.0,0.0,0.0,,0.0,2.0,3.0,0.0,,
Joey Beltran,MALE,Heavyweight,28.0,Orthodox,185.42,190.5,185.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Josh Koscheck,MALE,Welterweight,32.0,Orthodox,177.8,185.42,170.0,12.0-4.0-0.0,4.0,0.0,12.0,0.0,4.0,0.0,,4.0,5.0,3.0,0.0,,
Kevin Ferguson,MALE,Heavyweight,36.0,Orthodox,187.96,195.58,235.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Lyoto Machida,MALE,Light Heavyweight,31.0,Southpaw,185.42,187.96,185.0,8.0-0.0-0.0,0.0,0.0,8.0,0.0,5.0,0.0,,5.0,2.0,1.0,0.0,,
Marcus Davis,MALE,Welterweight,36.0,Southpaw,177.8,177.8,170.0,8.0-4.0-0.0,4.0,0.0,8.0,0.0,1.0,0.0,,1.0,2.0,4.0,0.0,,
Patrick Cote,MALE,Middleweight,30.0,Orthodox,180.34,180.34,170.0,4.0-5.0-0.0,5.0,0.0,4.0,0.0,1.0,0.0,,1.0,2.0,0.0,0.0,,
Sam Stout,MALE,Lightweight,26.0,Orthodox,175.26,177.8,155.0,4.0-4.0-0.0,4.0,0.0,4.0,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,,
TJ Grant,MALE,Welterweight,26.0,Orthodox,177.8,182.88,155.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Tom Lawlor,MALE,Middleweight,26.0,Southpaw,182.88,187.96,205.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
Yoshiyuki Yoshida,MALE,Welterweight,35.0,Southpaw,180.34,177.8,170.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,
Aaron Riley,MALE,Lightweight,29.0,Southpaw,172.72,175.26,155.0,2.0-4.0-0.0,4.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
Amir Sadollah,MALE,Welterweight,29.0,Orthodox,177.8,187.96,170.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,2.0,0.0,,2.0,0.0,1.0,0.0,,
Diego Sanchez,MALE,Welterweight,28.0,Southpaw,177.8,182.88,170.0,10.0-3.0-0.0,3.0,0.0,10.0,0.0,4.0,0.0,,4.0,5.0,0.0,0.0,,
Efrain Escudero,MALE,Lightweight,24.0,Orthodox,175.26,177.8,155.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Jason Brilz,MALE,Light Heavyweight,34.0,Orthodox,180.34,180.34,205.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,,
Jesse Forbes,MALE,Middleweight,25.0,Southpaw,187.96,190.5,185.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Luiz Cane,MALE,Light Heavyweight,29.0,Southpaw,187.96,195.58,185.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,1.0,0.0,,1.0,2.0,0.0,0.0,,
Melvin Guillard,MALE,Lightweight,27.0,Orthodox,175.26,172.72,155.0,6.0-4.0-0.0,4.0,0.0,6.0,0.0,1.0,0.0,,1.0,3.0,0.0,1.0,,
Michael Bisping,MALE,Middleweight,31.0,Orthodox,185.42,190.5,185.0,8.0-3.0-0.0,3.0,0.0,8.0,0.0,1.0,0.0,,1.0,6.0,0.0,0.0,,
Rampage Jackson,MALE,Light Heavyweight,31.0,Orthodox,185.42,185.42,205.0,5.0-1.0-0.0,1.0,0.0,5.0,0.0,2.0,0.0,,2.0,3.0,0.0,0.0,,
Todd Duffee,MALE,Heavyweight,24.0,Orthodox,190.5,200.66,260.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Ben Rothwell,MALE,Heavyweight,28.0,Orthodox,193.04,198.12,265.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Carlos Condit,MALE,Welterweight,26.0,Orthodox,187.96,190.5,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Chuck Liddell,MALE,Light Heavyweight,40.0,Orthodox,187.96,193.04,205.0,16.0-6.0-0.0,6.0,0.0,16.0,0.0,6.0,0.0,,6.0,9.0,0.0,1.0,,
David Loiseau,MALE,Middleweight,30.0,Orthodox,182.88,193.04,185.0,4.0-4.0-0.0,4.0,0.0,4.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,,
James Wilks,MALE,Welterweight,32.0,Orthodox,185.42,190.5,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Mac Danzig,MALE,Lightweight,30.0,Orthodox,172.72,177.8,155.0,3.0-3.0-0.0,3.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,,
Mike Pyle,MALE,Welterweight,34.0,Orthodox,182.88,187.96,170.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Mirko Filipovic,MALE,Heavyweight,35.0,Southpaw,187.96,185.42,230.0,3.0-3.0-0.0,3.0,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,0.0,1.0,,
Paulo Thiago,MALE,Welterweight,29.0,Orthodox,180.34,185.42,170.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,,
Ricardo Funch,MALE,Welterweight,29.0,Southpaw,177.8,193.04,170.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Tyson Griffin,MALE,Lightweight,26.0,Orthodox,167.64,172.72,145.0,7.0-2.0-0.0,2.0,0.0,7.0,0.0,4.0,0.0,,4.0,1.0,1.0,0.0,,
Brad Tavares,MALE,Middleweight,22.0,Orthodox,185.42,187.96,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Chris Camozzi,MALE,Middleweight,23.0,Orthodox,187.96,193.04,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Chris Leben,MALE,Middleweight,29.0,Southpaw,180.34,187.96,185.0,9.0-5.0-0.0,5.0,0.0,9.0,0.0,2.0,0.0,,2.0,5.0,1.0,0.0,,
Court McGee,MALE,Middleweight,25.0,Orthodox,180.34,190.5,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
James McSweeney,MALE,Heavyweight,29.0,Switch,193.04,195.58,230.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Jamie Yager,MALE,Middleweight,26.0,Orthodox,185.42,185.0,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
John Gunderson,MALE,Lightweight,31.0,Orthodox,175.26,175.26,155.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Josh Bryant,MALE,Middleweight,30.0,Orthodox,177.8,185.42,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Keith Jardine,MALE,Light Heavyweight,34.0,Orthodox,187.96,193.04,185.0,6.0-6.0-0.0,6.0,0.0,6.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,,
Spencer Fisher,MALE,Lightweight,34.0,Southpaw,170.18,177.8,155.0,8.0-4.0-0.0,4.0,0.0,8.0,0.0,3.0,0.0,,3.0,2.0,2.0,1.0,,
Brendan Schaub,MALE,Heavyweight,27.0,Orthodox,193.04,198.12,245.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Brock Lesnar,MALE,Heavyweight,32.0,Orthodox,190.5,205.74,265.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,2.0,0.0,0.0,,
Chris Leben,MALE,Middleweight,29.0,Southpaw,180.34,187.96,185.0,10.0-5.0-0.0,5.0,0.0,10.0,0.0,2.0,0.0,,2.0,6.0,1.0,0.0,,
Chris Lytle,MALE,Welterweight,35.0,Orthodox,180.34,172.72,170.0,7.0-9.0-0.0,9.0,0.0,7.0,0.0,2.0,0.0,,2.0,1.0,4.0,0.0,,
Forrest Petz,MALE,Welterweight,34.0,Orthodox,175.26,180.34,170.0,2.0-3.0-0.0,3.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
George Sotiropoulos,MALE,Lightweight,32.0,Orthodox,177.8,180.34,155.0,5.0-0.0-0.0,0.0,0.0,5.0,0.0,1.0,0.0,,1.0,1.0,3.0,0.0,,
Gerald Harris,MALE,Middleweight,30.0,Southpaw,180.34,195.58,185.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Jon Madsen,MALE,Heavyweight,30.0,Orthodox,182.88,182.88,240.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Kendall Grove,MALE,Middleweight,27.0,Orthodox,198.12,200.66,185.0,6.0-4.0-0.0,4.0,0.0,6.0,0.0,1.0,0.0,,1.0,2.0,2.0,0.0,,
Krzysztof Soszynski,MALE,Light Heavyweight,32.0,Open Stance,185.42,195.58,205.0,4.0-1.0-0.0,1.0,0.0,4.0,0.0,0.0,0.0,,0.0,1.0,2.0,1.0,,
Seth Petruzelli,MALE,Light Heavyweight,30.0,Orthodox,182.88,193.04,205.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Brian Stann,MALE,Middleweight,29.0,Orthodox,185.42,187.96,205.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
DaMarques Johnson,MALE,Welterweight,28.0,Orthodox,185.42,190.5,170.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,
Darren Elkins,MALE,Lightweight,26.0,Orthodox,177.8,180.34,145.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
James Irvin,MALE,Light Heavyweight,31.0,Orthodox,187.96,190.5,205.0,4.0-5.0-0.0,5.0,0.0,4.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,,
John Howard,MALE,Welterweight,27.0,Orthodox,170.18,180.34,170.0,4.0-0.0-0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Jon Jones,MALE,Light Heavyweight,23.0,Orthodox,193.04,213.36,205.0,4.0-1.0-0.0,1.0,0.0,4.0,0.0,2.0,0.0,,2.0,1.0,1.0,0.0,,
Mark Munoz,MALE,Middleweight,32.0,Orthodox,182.88,182.88,185.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Paul Kelly,MALE,Lightweight,25.0,Orthodox,175.26,177.8,155.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,3.0,0.0,,3.0,0.0,1.0,0.0,,
Rob Kimmons,MALE,Middleweight,29.0,Orthodox,177.8,185.42,185.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,
Tyson Griffin,MALE,Lightweight,26.0,Orthodox,167.64,172.72,145.0,7.0-3.0-0.0,3.0,0.0,7.0,0.0,4.0,0.0,,4.0,1.0,1.0,0.0,,
Anderson Silva,MALE,Middleweight,35.0,Southpaw,187.96,195.58,185.0,11.0-0.0-0.0,0.0,0.0,11.0,0.0,2.0,0.0,,2.0,7.0,2.0,0.0,,
Ben Saunders,MALE,Welterweight,27.0,Orthodox,187.96,195.58,170.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,1.0,0.0,,1.0,2.0,1.0,0.0,,
Clay Guida,MALE,Lightweight,28.0,Orthodox,170.18,177.8,155.0,6.0-5.0-0.0,5.0,0.0,6.0,0.0,1.0,0.0,,1.0,1.0,2.0,0.0,,
Dustin Hazelett,MALE,Welterweight,24.0,Orthodox,185.42,193.04,170.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,1.0,0.0,,1.0,0.0,4.0,0.0,,
Johny Hendricks,MALE,Welterweight,26.0,Southpaw,175.26,175.26,185.0,3.0-0.0-0.0,0.0,0.0,3.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,,
Jon Fitch,MALE,Welterweight,32.0,Orthodox,182.88,193.04,170.0,12.0-1.0-0.0,1.0,0.0,12.0,0.0,7.0,0.0,,7.0,1.0,3.0,0.0,,
Matt Hughes,MALE,Welterweight,36.0,Switch,175.26,185.42,170.0,17.0-5.0-0.0,5.0,0.0,17.0,0.0,5.0,0.0,,5.0,6.0,4.0,2.0,,
Rodney Wallace,MALE,Light Heavyweight,28.0,Switch,175.26,182.88,205.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Roy Nelson,MALE,Heavyweight,34.0,Orthodox,182.88,182.88,263.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Stefan Struve,MALE,Heavyweight,22.0,Orthodox,210.82,213.36,265.0,3.0-2.0-0.0,2.0,0.0,3.0,1.0,0.0,1.0,,0.0,0.0,2.0,0.0,,
Todd Brown,MALE,Light Heavyweight,33.0,Orthodox,180.34,188.0,205.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Andre Winner,MALE,Lightweight,28.0,Orthodox,180.34,185.42,155.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Dan Miller,MALE,Middleweight,29.0,Orthodox,185.42,187.96,185.0,3.0-3.0-0.0,3.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,,
Demian Maia,MALE,Middleweight,32.0,Southpaw,185.42,182.88,170.0,6.0-2.0-0.0,2.0,0.0,6.0,0.0,1.0,0.0,,1.0,0.0,5.0,0.0,,
Frankie Edgar,MALE,Lightweight,28.0,Orthodox,167.64,172.72,145.0,7.0-1.0-0.0,1.0,0.0,7.0,0.0,5.0,0.0,,5.0,1.0,1.0,0.0,,
Joe Lauzon,MALE,Lightweight,26.0,Orthodox,177.8,180.34,155.0,5.0-2.0-0.0,2.0,0.0,5.0,0.0,0.0,0.0,,0.0,2.0,3.0,0.0,,
Kenny Florian,MALE,Lightweight,34.0,Southpaw,177.8,187.96,145.0,11.0-3.0-0.0,3.0,0.0,11.0,0.0,1.0,0.0,,1.0,2.0,7.0,1.0,,
Mike Pierce,MALE,Welterweight,29.0,Orthodox,172.72,177.8,170.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
Nate Diaz,MALE,Welterweight,25.0,Southpaw,182.88,193.04,170.0,7.0-3.0-0.0,3.0,0.0,7.0,0.0,0.0,0.0,,0.0,1.0,5.0,0.0,,
Nick Osipczak,MALE,Welterweight,25.0,Orthodox,187.96,193.04,170.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,
Randy Couture,MALE,Heavyweight,47.0,Orthodox,185.42,190.5,205.0,15.0-7.0-0.0,7.0,0.0,15.0,1.0,4.0,1.0,,4.0,6.0,3.0,1.0,,
Brian Foster,MALE,Welterweight,26.0,Orthodox,175.26,180.34,170.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Cole Miller,MALE,Lightweight,26.0,Orthodox,185.42,187.96,145.0,5.0-2.0-0.0,2.0,0.0,5.0,0.0,1.0,0.0,,1.0,1.0,3.0,0.0,,
Efrain Escudero,MALE,Lightweight,24.0,Orthodox,175.26,177.8,155.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,,
Jared Hamman,MALE,Light Heavyweight,28.0,Orthodox,190.5,190.5,185.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Jim Miller,MALE,Lightweight,27.0,Southpaw,172.72,180.34,155.0,6.0-1.0-0.0,1.0,0.0,6.0,0.0,3.0,0.0,,3.0,1.0,2.0,0.0,,
Nate Marquardt,MALE,Middleweight,31.0,Orthodox,182.88,187.96,185.0,8.0-3.0-0.0,3.0,0.0,8.0,0.0,3.0,0.0,,3.0,3.0,2.0,0.0,,
Rich Attonito,MALE,Middleweight,33.0,Orthodox,177.8,182.88,170.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
TJ Waldburger,MALE,Welterweight,22.0,Orthodox,180.34,190.5,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Tomasz Drwal,MALE,Middleweight,28.0,Orthodox,185.42,193.04,205.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,1.0,0.0,,
Yves Edwards,MALE,Lightweight,33.0,Southpaw,175.26,185.42,155.0,6.0-4.0-0.0,4.0,0.0,6.0,0.0,1.0,0.0,,1.0,3.0,1.0,0.0,,
CB Dollaway,MALE,Middleweight,27.0,Orthodox,187.96,193.04,185.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,2.0,0.0,,2.0,1.0,1.0,0.0,,
Frank Mir,MALE,Heavyweight,31.0,Southpaw,190.5,200.66,264.0,11.0-5.0-0.0,5.0,0.0,11.0,0.0,1.0,0.0,,1.0,2.0,7.0,0.0,,
Mark Hunt,MALE,Heavyweight,36.0,Orthodox,177.8,182.88,265.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Matt Mitrione,MALE,Heavyweight,32.0,Switch,190.5,200.66,265.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Matt Serra,MALE,Welterweight,36.0,Orthodox,167.64,172.72,170.0,7.0-6.0-0.0,6.0,0.0,7.0,1.0,2.0,1.0,,2.0,2.0,1.0,0.0,,
Melvin Guillard,MALE,Lightweight,27.0,Orthodox,175.26,172.72,155.0,7.0-4.0-0.0,4.0,0.0,7.0,0.0,1.0,0.0,,1.0,4.0,0.0,1.0,,
Rogerio Nogueira,MALE,Light Heavyweight,34.0,Southpaw,187.96,190.5,205.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
