r_fighter,gender,weightclass,r_age,r_stance,r_heightcms,r_reachcms,r_weightlbs,r_record,r_losses,r_draws,r_wins,r_winbydecisionmajority,r_winbydecisionunanimous,r_winsbydecisionmajority,r_winsbydecisionsplit,r_winsbydecisionunanimous,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,r_matchwcrank,r_pfprank
Krzysztof Jotko,MALE,Middleweight,30.0,Southpaw,185.42,195.58,185.0,9.0-4.0-0.0,4.0,0.0,9.0,,,0.0,,0.0,0.0,0.0,0.0,,
Miguel Baeza,MALE,Welterweight,27.0,Orthodox,187.96,187.96,170.0,2.0-0.0-0.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,,
Nate Landwehr,MALE,Featherweight,31.0,Orthodox,175.26,182.88,145.0,1.0-1.0-0.0,1.0,0.0,1.0,,,0.0,,0.0,0.0,0.0,0.0,,
Rodrigo Nascimento,MALE,Heavyweight,27.0,Orthodox,187.96,203.2,246.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Song Yadong,MALE,Featherweight,22.0,Orthodox,172.72,170.18,145.0,5.0-0.0-1.0,0.0,1.0,5.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,
Billy Quarantillo,MALE,Catch Weight,31.0,Orthodox,177.8,177.8,145.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Blagoy Ivanov,MALE,Heavyweight,33.0,Southpaw,180.34,185.42,250.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,12.0,
Chris Gutierrez,MALE,Featherweight,29.0,Orthodox,175.26,170.18,145.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Daniel Rodriguez,MALE,Welterweight,33.0,Southpaw,185.42,187.96,170.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Jamahal Hill,MALE,Light Heavyweight,29.0,Southpaw,193.04,200.66,205.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Katlyn Chookagian,FEMALE,Women's Flyweight,31.0,Orthodox,175.26,172.72,125.0,6.0-3.0-0.0,3.0,0.0,6.0,0.0,5.0,0.0,,5.0,0.0,0.0,0.0,2.0,11.0
Louis Smolka,MALE,Bantamweight,28.0,Orthodox,177.8,185.42,135.0,7.0-6.0-0.0,6.0,0.0,7.0,0.0,2.0,0.0,,2.0,3.0,2.0,0.0,,
Mackenzie Dern,FEMALE,Women's Strawweight,27.0,Orthodox,162.56,160.02,115.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Roosevelt Roberts,MALE,Lightweight,26.0,Orthodox,187.96,185.42,155.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,2.0,0.0,,2.0,0.0,1.0,0.0,,
Tim Elliott,MALE,Flyweight,33.0,Southpaw,170.18,167.64,125.0,4.0-8.0-0.0,8.0,0.0,4.0,0.0,3.0,0.0,,3.0,0.0,1.0,0.0,11.0,
Tyron Woodley,MALE,Welterweight,38.0,Orthodox,175.26,187.96,170.0,17.0-4.0-1.0,4.0,1.0,17.0,1.0,1.0,1.0,,3.0,6.0,4.0,0.0,1.0,14.0
Alex Caceres,MALE,Featherweight,31.0,Southpaw,177.8,185.42,145.0,10.0-10.0-0.0,10.0,0.0,10.0,0.0,4.0,0.0,,4.0,1.0,2.0,0.0,,
Aljamain Sterling,MALE,Bantamweight,30.0,Orthodox,170.18,180.34,135.0,10.0-3.0-0.0,3.0,0.0,10.0,0.0,6.0,0.0,,6.0,1.0,3.0,0.0,2.0,
Alonzo Menifield,MALE,Light Heavyweight,32.0,Orthodox,182.88,193.04,205.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Amanda Nunes,FEMALE,Women's Featherweight,32.0,Orthodox,172.72,175.26,145.0,13.0-2.0-0.0,2.0,0.0,13.0,0.0,2.0,0.0,,2.0,8.0,2.0,0.0,0.0,1.0
Charles Byrd,MALE,Middleweight,36.0,Orthodox,177.8,185.42,185.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Cody Stamann,MALE,Featherweight,30.0,Orthodox,167.64,162.56,135.0,4.0-1.0-1.0,1.0,1.0,4.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
Eddie Wineland,MALE,Bantamweight,35.0,Orthodox,170.18,175.26,135.0,11.0-9.0-0.0,9.0,0.0,11.0,0.0,0.0,0.0,,2.0,8.0,0.0,0.0,,
Evan Dunham,MALE,Catch Weight,38.0,Southpaw,177.8,177.8,155.0,11.0-8.0-1.0,8.0,1.0,11.0,0.0,5.0,0.0,,5.0,2.0,1.0,0.0,,
Ian Heinisch,MALE,Middleweight,31.0,Orthodox,180.34,182.88,185.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,13.0,
Jussier Formiga,MALE,Flyweight,35.0,Orthodox,165.1,170.18,125.0,9.0-6.0-0.0,6.0,0.0,9.0,0.0,6.0,0.0,,6.0,0.0,3.0,0.0,4.0,
Neil Magny,MALE,Welterweight,32.0,Orthodox,190.5,203.2,170.0,15.0-6.0-0.0,6.0,0.0,15.0,0.0,8.0,0.0,,8.0,5.0,1.0,0.0,,
Raphael Assuncao,MALE,Bantamweight,37.0,Orthodox,165.1,167.64,135.0,14.0-6.0-0.0,6.0,0.0,14.0,0.0,5.0,0.0,,7.0,2.0,1.0,0.0,5.0,
Andre Fili,MALE,Featherweight,29.0,Orthodox,180.34,187.96,145.0,8.0-6.0-0.0,6.0,0.0,8.0,0.0,4.0,0.0,,4.0,3.0,0.0,0.0,,
Anthony Ivy,MALE,Welterweight,30.0,Orthodox,187.96,187.96,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Charles Rosa,MALE,Lightweight,33.0,Switch,175.26,175.26,145.0,3.0-4.0-0.0,4.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,,
Jessica Eye,FEMALE,Women's Flyweight,33.0,Orthodox,167.64,167.64,125.0,5.0-6.0-0.0,6.0,0.0,5.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,1.0,12.0
Jordan Espinosa,MALE,Bantamweight,30.0,Orthodox,167.64,175.26,125.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Julia Avila,FEMALE,Women's Bantamweight,32.0,Orthodox,170.18,172.72,135.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Karl Roberson,MALE,Middleweight,29.0,Southpaw,185.42,187.96,185.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,,
Mariya Agapova,FEMALE,Women's Flyweight,23.0,Southpaw,167.64,172.72,125.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Merab Dvalishvili,MALE,Catch Weight,29.0,Orthodox,167.64,172.72,135.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,,
Tyson Nam,MALE,Bantamweight,36.0,Orthodox,170.18,172.72,125.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Austin Hubbard,MALE,Lightweight,28.0,Orthodox,177.8,180.34,155.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Belal Muhammad,MALE,Welterweight,31.0,Orthodox,180.34,182.88,170.0,7.0-3.0-0.0,3.0,0.0,7.0,0.0,4.0,0.0,,4.0,1.0,1.0,0.0,,
Clay Guida,MALE,Lightweight,38.0,Orthodox,170.18,177.8,155.0,17.0-14.0-0.0,14.0,0.0,17.0,0.0,6.0,0.0,,8.0,2.0,4.0,0.0,,
Cortney Casey,FEMALE,Women's Flyweight,33.0,Orthodox,170.18,170.18,125.0,5.0-6.0-0.0,6.0,0.0,5.0,0.0,1.0,0.0,,1.0,1.0,2.0,0.0,,
Curtis Blaydes,MALE,Heavyweight,29.0,Orthodox,193.04,203.2,265.0,8.0-2.0-0.0,2.0,0.0,8.0,0.0,3.0,0.0,,3.0,5.0,0.0,0.0,3.0,
Frank Camacho,MALE,Lightweight,31.0,Orthodox,177.8,185.42,170.0,2.0-4.0-0.0,4.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Jim Miller,MALE,Catch Weight,36.0,Southpaw,172.72,180.34,155.0,20.0-13.0-0.0,13.0,0.0,20.0,0.0,6.0,0.0,,6.0,3.0,9.0,0.0,,
Josh Emmett,MALE,Featherweight,35.0,Orthodox,167.64,177.8,145.0,6.0-2.0-0.0,2.0,0.0,6.0,0.0,2.0,0.0,,2.0,3.0,0.0,0.0,8.0,
Marc-Andre Barriault,MALE,Middleweight,30.0,Orthodox,185.42,187.96,185.0,0.0-3.0-0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Raquel Pennington,FEMALE,Women's Bantamweight,31.0,Orthodox,170.18,170.18,135.0,7.0-5.0-0.0,5.0,0.0,7.0,0.0,3.0,0.0,,3.0,0.0,2.0,0.0,6.0,
Roxanne Modafferi,FEMALE,Women's Flyweight,37.0,Orthodox,170.18,175.26,125.0,3.0-6.0-0.0,6.0,0.0,3.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,6.0,
Tecia Torres,FEMALE,Women's Strawweight,30.0,Orthodox,154.94,152.4,115.0,6.0-5.0-0.0,5.0,0.0,6.0,0.0,5.0,0.0,,5.0,0.0,1.0,0.0,11.0,
Brendan Allen,MALE,Middleweight,24.0,Orthodox,187.96,190.5,185.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,13.0,
Dustin Poirier,MALE,Lightweight,31.0,Southpaw,175.26,182.88,155.0,18.0-6.0-0.0,6.0,0.0,18.0,1.0,5.0,1.0,,5.0,9.0,3.0,0.0,3.0,11.0
Gian Villante,MALE,Heavyweight,34.0,Orthodox,190.5,193.04,205.0,10.0-10.0-0.0,10.0,0.0,10.0,0.0,0.0,0.0,,2.0,5.0,0.0,0.0,,
Jordan Griffin,MALE,Featherweight,30.0,Southpaw,177.8,185.42,145.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Kay Hansen,FEMALE,Women's Strawweight,20.0,Orthodox,160.02,160.02,115.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Luis Pena,MALE,Lightweight,26.0,Southpaw,190.5,190.5,155.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,2.0,0.0,,2.0,1.0,1.0,0.0,,
Mara Romero Borella,FEMALE,Women's Flyweight,34.0,Orthodox,167.64,175.26,125.0,2.0-4.0-0.0,4.0,0.0,2.0,,,0.0,,0.0,0.0,1.0,0.0,,
Mike Perry,MALE,Welterweight,28.0,Orthodox,177.8,180.34,170.0,6.0-6.0-0.0,6.0,0.0,6.0,0.0,1.0,0.0,,1.0,4.0,0.0,0.0,,
Philipe Lins,MALE,Heavyweight,34.0,Orthodox,187.96,198.12,240.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Sean Woodson,MALE,Catch Weight,28.0,Orthodox,187.96,198.12,145.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Takashi Sato,MALE,Welterweight,30.0,Southpaw,177.8,185.42,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Alexander Volkanovski,MALE,Featherweight,31.0,Orthodox,167.64,180.34,145.0,8.0-0.0-0.0,0.0,0.0,8.0,0.0,5.0,0.0,,5.0,3.0,0.0,0.0,0.0,7.0
Amanda Ribas,FEMALE,Women's Flyweight,26.0,Orthodox,160.02,167.64,115.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,2.0,0.0,,2.0,0.0,1.0,0.0,,
Elizeu Zaleski dos Santos,MALE,Welterweight,33.0,Orthodox,180.34,185.42,170.0,8.0-2.0-0.0,2.0,0.0,8.0,0.0,3.0,0.0,,3.0,3.0,1.0,0.0,,
Jessica Andrade,FEMALE,Women's Strawweight,28.0,Orthodox,154.94,157.48,115.0,11.0-5.0-0.0,5.0,0.0,11.0,0.0,5.0,0.0,,5.0,3.0,2.0,0.0,1.0,4.0
Kamaru Usman,MALE,Welterweight,33.0,Switch,182.88,193.04,170.0,11.0-0.0-0.0,0.0,0.0,11.0,0.0,8.0,0.0,,8.0,2.0,1.0,0.0,0.0,6.0
Karol Rosa,FEMALE,Women's Bantamweight,25.0,Orthodox,165.1,170.18,135.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Leonardo Santos,MALE,Lightweight,40.0,Orthodox,182.88,190.5,155.0,6.0-0.0-1.0,0.0,1.0,6.0,0.0,1.0,0.0,,1.0,2.0,2.0,0.0,,
Makwan Amirkhani,MALE,Featherweight,31.0,Southpaw,177.8,182.88,145.0,5.0-2.0-0.0,2.0,0.0,5.0,0.0,1.0,0.0,,1.0,1.0,2.0,0.0,,
Marcin Tybura,MALE,Heavyweight,34.0,Orthodox,190.5,198.12,249.0,5.0-5.0-0.0,5.0,0.0,5.0,0.0,3.0,0.0,,3.0,2.0,0.0,0.0,,
Martin Day,MALE,Bantamweight,31.0,Orthodox,177.8,185.42,135.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Petr Yan,MALE,Bantamweight,27.0,Switch,170.18,170.18,135.0,6.0-0.0-0.0,0.0,0.0,6.0,0.0,3.0,0.0,,3.0,3.0,0.0,0.0,3.0,
Raulian Paiva,MALE,Flyweight,24.0,Orthodox,172.72,175.26,125.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,14.0,
Volkan Oezdemir,MALE,Light Heavyweight,30.0,Orthodox,187.96,190.5,205.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,7.0,
Abdul Razak Alhassan,MALE,Welterweight,34.0,Orthodox,177.8,185.42,170.0,4.0-1.0-0.0,1.0,0.0,4.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,,
