date,event,referee,r_fighter,b_fighter,finish,totalfighttimesecs,finishround,heightdif,agedif,reachdif,r_odds,b_odds,r_avgkd,b_avgkd,r_avgsigstratt,b_avgsigstratt,r_avgsigstrlanded,b_avgsigstrlanded,r_avgtdatt,b_avgtdatt,r_avgtdlanded,b_avgtdlanded,r_avgsubatt,b_avgsubatt,r_avgctrltime,b_avgctrltime
2010-03-31,UFC Fight Night: Florian vs Gomi,Dale Frye,Andre Winner,Rafaello Oliveira,U-DEC,900.0,3.0,-7.62,0.0,-5.08,-190.0,165.0,1.0,0.0,57.0,77.5,30.0,25.0,1.0,7.0,0.0,5.0,0.0,2.0,187.0,510.5
2010-03-31,UFC Fight Night: Florian vs Gomi,Bill Clancy,Caol Uno,Gleison Tibau,KO/TKO,253.0,1.0,7.62,8.0,2.54,270.0,-330.0,0.0,0.0,56.16,78.71,28.89,13.0,6.39,12.69,2.22,4.7,0.22,1.0,442.62,370.3
2010-03-31,UFC Fight Night: Florian vs Gomi,Dale Frye,Charlie Brenneman,Jason High,U-DEC,900.0,3.0,-5.08,1.0,-2.54,173.0,-205.0,,,,,,,,,,,,,,
2010-03-31,UFC Fight Night: Florian vs Gomi,Bill Clancy,Gerald Harris,Mario Miranda,KO/TKO,289.0,1.0,10.16,0.0,-7.62,-155.0,135.0,0.0,,81.0,,21.0,,2.0,,1.0,,0.0,,132.0,
2010-03-31,UFC Fight Night: Florian vs Gomi,Bill Clancy,Jacob Volkmann,Ronys Torres,S-DEC,900.0,3.0,-5.08,-5.0,-0.04,190.0,-230.0,0.0,0.0,37.0,49.0,14.5,6.0,2.0,13.0,0.5,5.0,0.5,1.0,184.5,343.0
2010-03-31,UFC Fight Night: Florian vs Gomi,Mario Yamasaki,Kenny Florian,Takanori Gomi,SUB,772.0,3.0,-7.62,2.0,-10.16,-360.0,300.0,0.5,,68.16,,23.62,,5.65,,1.54,,0.85,,139.39,
2010-03-31,UFC Fight Night: Florian vs Gomi,Mario Yamasaki,Nate Quarry,Jorge Rivera,KO/TKO,329.0,2.0,2.54,0.0,2.54,-230.0,190.0,1.05,0.83,89.09,84.51,31.0,28.18,0.28,2.07,0.11,0.55,0.0,0.09,268.87,332.61
2010-03-31,UFC Fight Night: Florian vs Gomi,Dale Frye,Rob Emerson,Nik Lentz,U-DEC,900.0,3.0,-2.54,3.0,-5.08,130.0,-150.0,0.06,0.0,86.28,171.0,26.83,69.0,6.41,9.0,1.67,4.0,0.17,2.5,287.0,155.5
2010-03-31,UFC Fight Night: Florian vs Gomi,Dan Miragliotta,Ross Pearson,Dennis Siver,U-DEC,900.0,3.0,-5.08,-6.0,2.54,-220.0,180.0,0.0,1.14,125.5,114.39,66.5,20.0,3.5,1.23,0.0,0.29,0.0,0.29,140.0,40.05
2010-03-31,UFC Fight Night: Florian vs Gomi,Dan Miragliotta,Roy Nelson,Stefan Struve,KO/TKO,39.0,1.0,27.94,11.0,30.48,-350.0,290.0,1.0,0.0,35.0,62.38,8.0,17.5,2.0,0.88,1.0,0.5,0.0,3.0,82.0,207.75
